,P_P1_WOM_U,P_P1_MARKETING_U,P_P1_EXPERIENCE_U,P_P1_SHARE,P_P2_WOM_U,P_P2_MARKETING_U,P_P2_EXPERIENCE_U,P_P2_SHARE,V_P1_WOM_U,V_P1_MARKETING_U,V_P1_EXPERIENCE_U,V_P1_SHARE,V_P2_WOM_U,V_P2_MARKETING_U,V_P2_EXPERIENCE_U,V_P2_SHARE
53,0.013092083795011316,0.470898041413069,0.043099399674955186,0.0785,0.013246000645455128,0.47016722171520686,0.05171315561091378,0.0785,0.012638362413027442,0.4629802962336255,0.044475626280985586,0.07,0.012496693482492237,0.4686312924904067,0.031788989465107304,0.065
54,0.01327114263984229,0.4822173247631277,0.04590620983141359,0.07,0.013446194798869777,0.4803884793665452,0.052488885433489424,0.076,0.012809078852559967,0.4732561412439583,0.044531778481644094,0.08,0.012601349858362497,0.4766647856832392,0.035424683902181536,0.045
55,0.013466538445586825,0.4923880472664498,0.048171451247869035,0.0825,0.013649399325273535,0.4902735509213107,0.05506869402066078,0.074,0.012915362260070553,0.48241443232007314,0.04689927682335887,0.07,0.012759580953619731,0.4890212868664737,0.03630238939714085,0.075
56,0.013679737638042828,0.5023824303524891,0.04856673095025523,0.081,0.013871677296401553,0.5008645466467628,0.057609854117078134,0.0685,0.01306689396396979,0.4920549030717691,0.052579316680190474,0.055,0.012945104876808994,0.4981691887316569,0.03705978087723005,0.065
57,0.013889120396295654,0.5115354447661039,0.05131926705905521,0.0735,0.014119320578497548,0.5107925075997591,0.06034029336125189,0.0795,0.013252287260501181,0.501709211272615,0.054629780299673004,0.075,0.013090974797429095,0.5073923981813309,0.03867320745119225,0.075
58,0.01411842404469974,0.5211921081602476,0.05426997959290116,0.0805,0.014354912617908198,0.5199916845385717,0.06349455509924168,0.0785,0.013504708608312918,0.5128715957294592,0.057836805990677774,0.07,0.013241175772769948,0.5168701119701222,0.03888311266692837,0.1
59,0.014353285923230737,0.53088170802633,0.056269959817857824,0.077,0.014674629915303137,0.5293535412318581,0.06627853072273544,0.084,0.013784882964440191,0.524573884409946,0.06014245935557071,0.075,0.013422071332932996,0.5270258608095584,0.03753444758924513,0.095
60,0.014641515263409096,0.5398409624465814,0.05898063259514608,0.0895,0.01494768126775884,0.5390937919471562,0.06715105239386089,0.09,0.013946381395416808,0.5339627595813073,0.061585546983656855,0.08,0.013594992040483143,0.5349477636707527,0.04128475510146282,0.06
61,0.014882434349691345,0.5499229658592876,0.06181668679052223,0.0765,0.015217592148686596,0.5480039627523772,0.06665832230487655,0.082,0.014120482585288165,0.5409625987013357,0.06436039928695478,0.07,0.0137975426767998,0.5421146407617112,0.04511487685769522,0.045
62,0.015156687124251438,0.5584628957966987,0.06510286533470465,0.081,0.0154951446239781,0.5564824556735102,0.06979563423684189,0.0915,0.014440987321353288,0.5516322335344259,0.06529815501500075,0.09,0.013981025978942095,0.5511881241850578,0.047471201413823196,0.09
63,0.015476060070727571,0.5669063918712124,0.06884105242751301,0.0925,0.015788947788651142,0.5650396566329617,0.07206520272317997,0.085,0.014740856143914292,0.5617026054715122,0.06621185259237251,0.11,0.01418852118470373,0.5605145937009165,0.05034964452999216,0.07
64,0.01581305029567498,0.5757498405726598,0.07293051087873818,0.0995,0.016095825520798388,0.5741023860467054,0.0713884112100097,0.093,0.014977740678308255,0.5720264073766221,0.06705223288175427,0.115,0.014382125977689633,0.5688243513234024,0.054959552160887715,0.06
65,0.016138487183118805,0.5839969218028298,0.07610555094078507,0.0925,0.016378941080182445,0.5827104604885504,0.0734367968367174,0.0925,0.015339837796242664,0.5805744631277552,0.07009704642111174,0.09,0.014618486707438831,0.5789466059135651,0.05968776693045066,0.075
66,0.016408335752123603,0.5921487832549451,0.07938315963095506,0.0845,0.016725189246659212,0.5905558834477095,0.07427291052442092,0.0875,0.01570136364291587,0.5899296268282641,0.07206321853909242,0.095,0.014844601748025946,0.5868484745677306,0.0665207959377085,0.06
67,0.016748496042386245,0.6001963027343877,0.08333760293766287,0.0985,0.017092030741407686,0.5983724159086177,0.07799809803221221,0.0975,0.01603692748158747,0.5993851598735762,0.07391381156668184,0.1,0.01509927469155955,0.5976595733654296,0.0695018979020745,0.095
68,0.017107043527821917,0.607827761026571,0.08688380780479317,0.099,0.01745578141959952,0.605797283895,0.08179377357374856,0.097,0.01632320051699456,0.6089012291261215,0.07650810480233323,0.095,0.015381326522017149,0.6059368530136338,0.07033131223436889,0.115
69,0.017534031963247085,0.615220233397806,0.09035372669743247,0.095,0.01777908970953887,0.6145031026603982,0.08110025683456579,0.1045,0.016602128305583594,0.6184705697571395,0.07747000304703384,0.105,0.015663825007606408,0.6139946118256655,0.07846769742749753,0.065
70,0.017983908563550026,0.6228735713200646,0.08978070461010482,0.103,0.018113703002416215,0.6225304602688718,0.08447267758084456,0.0985,0.016847132844028025,0.625882993061061,0.0819167399605821,0.06,0.01601598499773849,0.6213170965309925,0.08043036714707555,0.1
71,0.018372018389551773,0.6300600823760534,0.09378472966389174,0.1165,0.018487080217449697,0.629985907505627,0.08642280886324019,0.108,0.01720708158751363,0.6343201408608136,0.08556666379923668,0.095,0.01627351334078277,0.6293021964467906,0.08841533467295641,0.075
72,0.018794299323733166,0.6379006424503996,0.09570065734182671,0.1075,0.01889862031768355,0.6372037261590695,0.08789144696820839,0.1005,0.017607664783480158,0.6400746074602089,0.08723540263153862,0.075,0.01681998003602396,0.6364628091401455,0.09116533803338994,0.085
73,0.019240495046012097,0.6452609153376722,0.09946438577149848,0.098,0.019347919718187185,0.6443458791304416,0.09234124924976081,0.11,0.018067952100372785,0.6479269401547092,0.0886699070349168,0.115,0.017130371596804663,0.6419673308204165,0.09646578273961942,0.1
74,0.019701783714158254,0.6520096790759264,0.10414948751762274,0.102,0.01988316983033058,0.6514481207395364,0.09513702169316336,0.101,0.018592182335273207,0.6530507161478672,0.08969733032498685,0.135,0.017668295321824568,0.6494951046876136,0.09850091680648772,0.095
75,0.02022638979416745,0.6587282150158943,0.1054318358885804,0.1195,0.02030303656860581,0.6582074646944356,0.09875666070242513,0.117,0.01890896127440891,0.6596125562712858,0.09294877685801291,0.085,0.018264129172589058,0.6551695609361555,0.10324342707612257,0.11
76,0.02080640209885599,0.6658512119536517,0.10789868756312787,0.1225,0.02090772088255628,0.6648071042960613,0.10399609486520517,0.1215,0.0194824559163076,0.6659281645185245,0.09795482656691844,0.11,0.018830747571677173,0.6620400239726482,0.10547819551479645,0.115
