,state,action,reward,next_state,fare,comm_rate,discount,Marketing
545,[[332  13]],0,831.04098,[[360  17]],1.2,0.35,0.0,False
546,[[360  17]],1,740.5218,[[354  21]],1.2,0.3,0.0,False
547,[[354  21]],0,848.77352,[[362  11]],1.2,0.35,0.0,False
548,[[362  11]],0,926.6793600000001,[[342  25]],1.2,0.4,0.0,False
549,[[342  25]],0,1131.6236399999998,[[365  23]],1.2,0.45,0.0,False
550,[[365  23]],2,1066.1155199999998,[[345  17]],1.2,0.45,0.0,False
551,[[345  17]],1,1021.0539200000001,[[376  21]],1.2,0.4,0.0,False
552,[[376  21]],0,1076.77152,[[353  19]],1.2,0.45,0.0,False
553,[[353  19]],0,1077.5972,[[326  17]],1.2,0.5,0.0,False
554,[[326  17]],0,1328.6972600000001,[[343  16]],1.2,0.55,0.0,False
555,[[343  16]],0,1588.08792,[[382  19]],1.2,0.6,0.0,False
556,[[382  19]],1,1398.9498600000002,[[381  21]],1.2,0.55,0.0,False
557,[[381  21]],0,1450.5739199999998,[[354  19]],1.2,0.6,0.0,False
558,[[354  19]],2,1360.7565599999998,[[337  11]],1.2,0.6,0.0,False
559,[[337  11]],0,1472.2032,[[336   9]],1.2,0.65,0.0,False
560,[[336   9]],2,1457.3410800000001,[[330  17]],1.2,0.65,0.0,False
561,[[330  17]],1,1304.52504,[[323  19]],1.2,0.6,0.0,False
562,[[323  19]],1,1317.9269399999998,[[351  17]],1.2,0.55,0.0,False
563,[[351  17]],1,1092.2197999999999,[[323  13]],1.2,0.5,0.0,False
564,[[323  13]],0,1227.7782000000002,[[327  20]],1.2,0.55,0.0,False
565,[[327  20]],2,1197.4230400000001,[[320  17]],1.2,0.55,0.0,False
566,[[320  17]],1,1057.9252,[[319  11]],1.2,0.5,0.0,False
567,[[319  11]],0,1155.9125600000002,[[310  21]],1.2,0.55,0.0,False
568,[[310  21]],2,1258.71108,[[333  18]],1.2,0.55,0.0,False
569,[[333  18]],0,1341.4831199999999,[[330  24]],1.2,0.6,0.0,False
570,[[330  24]],2,1371.40368,[[338  18]],1.2,0.6,0.0,False
571,[[338  18]],2,1204.74552,[[295  16]],1.2,0.6,0.0,False
572,[[295  16]],2,1413.6088799999998,[[343  15]],1.2,0.6,0.0,False
573,[[343  15]],0,1572.52706,[[353  13]],1.2,0.65,0.0,False
574,[[353  13]],0,1527.9378799999997,[[322  25]],1.2,0.7,0.0,False
575,[[322  25]],2,1528.0563199999997,[[319  22]],1.2,0.7,0.0,False
576,[[319  22]],2,1684.4674,[[347  16]],1.2,0.7,0.0,False
577,[[347  16]],0,1589.3307,[[321  16]],1.2,0.75,0.0,False
578,[[321  16]],0,1721.60832,[[321  16]],1.2,0.8,0.0,False
579,[[321  16]],1,1744.7139,[[339  17]],1.2,0.75,0.0,False
580,[[339  17]],1,1522.2815999999998,[[312   9]],1.2,0.7,0.0,False
581,[[312   9]],1,1502.82652,[[340  14]],1.2,0.65,0.0,False
582,[[340  14]],1,1349.46912,[[334  18]],1.2,0.6,0.0,False
583,[[334  18]],0,1431.4872,[[327  20]],1.2,0.65,0.0,False
584,[[327  20]],1,1342.45224,[[330  12]],1.2,0.6,0.0,False
585,[[330  12]],2,1369.05984,[[333  19]],1.2,0.6,0.0,False
586,[[333  19]],0,1457.7966000000001,[[324  17]],1.2,0.65,0.0,False
587,[[324  17]],0,1442.37912,[[300  16]],1.2,0.7,0.0,False
588,[[300  16]],2,1535.9817199999998,[[325  13]],1.2,0.7,0.0,False
589,[[325  13]],1,1519.97066,[[347  15]],1.2,0.65,0.0,False
590,[[347  15]],0,1579.5250799999997,[[324  17]],1.2,0.7,0.0,False
591,[[324  17]],2,1518.5539599999997,[[320  15]],1.2,0.7,0.0,False
592,[[320  15]],2,1620.9745999999998,[[343  13]],1.2,0.7,0.0,False
593,[[343  13]],1,1480.6162800000002,[[333  14]],1.2,0.65,0.0,False
594,[[333  14]],2,1389.76214,[[317  15]],1.2,0.65,0.0,False
595,[[317  15]],1,1305.69768,[[324  19]],1.2,0.6,0.0,False
596,[[324  19]],0,1442.27694,[[324  18]],1.2,0.65,0.0,False
597,[[324  18]],0,1538.1682399999997,[[322  10]],1.2,0.7,0.0,False
598,[[322  10]],0,1702.3718999999999,[[323  12]],1.2,0.75,0.0,False
599,[[323  12]],1,1502.5365599999998,[[315   8]],1.2,0.7,0.0,False
600,[[315   8]],1,1316.8766,[[290  14]],1.2,0.65,0.0,False
601,[[290  14]],1,1152.9563999999998,[[281  22]],1.2,0.6,0.0,False
602,[[281  22]],0,1318.37784,[[300  19]],1.2,0.65,0.0,False
603,[[300  19]],0,1532.3170799999998,[[315  17]],1.2,0.7,0.0,False
604,[[315  17]],0,1413.0828,[[282  19]],1.2,0.75,0.0,False
605,[[282  19]],1,1550.6657599999999,[[319  15]],1.2,0.7,0.0,False
606,[[319  15]],2,1442.6468,[[298  13]],1.2,0.7,0.0,False
607,[[298  13]],0,1584.0041999999999,[[310  18]],1.2,0.75,0.0,False
608,[[310  18]],0,1794.7024000000001,[[325  17]],1.2,0.8,0.0,False
609,[[325  17]],0,1723.2614399999998,[[294  16]],1.2,0.85,0.0,False
610,[[294  16]],2,1592.1173199999998,[[287  20]],1.2,0.85,0.0,False
611,[[287  20]],2,1736.0923599999999,[[302  19]],1.2,0.85,0.0,False
612,[[302  19]],1,1658.2176,[[303  13]],1.2,0.8,0.0,False
613,[[303  13]],1,1554.2883,[[303  20]],1.2,0.75,0.0,False
614,[[303  20]],0,1934.82528,[[345  17]],1.2,0.8,0.0,False
615,[[345  17]],2,1657.8656,[[302  21]],1.2,0.8,0.0,False
616,[[302  21]],1,1582.1805,[[305  17]],1.2,0.75,0.0,False
617,[[305  17]],1,1491.8274,[[309  10]],1.2,0.7,0.0,False
618,[[309  10]],0,1615.7057999999997,[[322  15]],1.2,0.75,0.0,False
619,[[322  15]],1,1612.19968,[[329  24]],1.2,0.7,0.0,False
620,[[329  24]],0,1645.0977,[[311  20]],1.2,0.75,0.0,False
621,[[311  20]],0,1729.37088,[[309  21]],1.2,0.8,0.0,False
622,[[309  21]],0,1838.1505,[[311  18]],1.2,0.85,0.0,False
623,[[311  18]],1,1705.34944,[[301  18]],1.2,0.8,0.0,False
624,[[301  18]],0,1658.73624,[[288  10]],1.2,0.85,0.0,False
625,[[288  10]],0,1891.10052,[[318  14]],1.2,0.9,0.0,False
626,[[318  14]],1,1863.9564999999998,[[317  16]],1.2,0.85,0.0,False
627,[[317  16]],0,1720.8413999999998,[[280  16]],1.2,0.9,0.0,False
628,[[280  16]],1,1808.1757599999999,[[305  21]],1.2,0.85,0.0,False
629,[[305  21]],2,1727.76712,[[296  10]],1.2,0.85,0.0,False
630,[[296  10]],2,1861.3004199999998,[[311  18]],1.2,0.85,0.0,False
631,[[311  18]],1,1645.48128,[[306  15]],1.2,0.8,0.0,False
632,[[306  15]],2,1597.37088,[[297  17]],1.2,0.8,0.0,False
633,[[297  17]],1,1454.2514999999999,[[291  20]],1.2,0.75,0.0,False
634,[[291  20]],0,1609.33088,[[290  17]],1.2,0.8,0.0,False
635,[[290  17]],0,1856.4703799999997,[[309  13]],1.2,0.85,0.0,False
636,[[309  13]],1,1590.10976,[[293  14]],1.2,0.8,0.0,False
637,[[293  14]],0,1662.8220199999998,[[289   6]],1.2,0.85,0.0,False
638,[[289   6]],2,1703.2575399999998,[[296  17]],1.2,0.85,0.0,False
639,[[296  17]],1,1700.3516800000002,[[322  15]],1.2,0.8,0.0,False
640,[[322  15]],1,1699.5066,[[328  22]],1.2,0.75,0.0,False
641,[[328  22]],1,1347.9093599999999,[[282  16]],1.2,0.7,0.0,False
642,[[282  16]],2,1612.6426399999998,[[337  13]],1.2,0.7,0.0,False
643,[[337  13]],0,1564.6446,[[300  20]],1.2,0.75,0.0,False
644,[[300  20]],2,1577.5191,[[306  16]],1.2,0.75,0.0,False
645,[[306  16]],1,1372.68852,[[279  15]],1.2,0.7,0.0,False
646,[[279  15]],1,1344.6331599999999,[[301  16]],1.2,0.65,0.0,False
647,[[301  16]],0,1457.9389999999999,[[310  15]],1.2,0.7,0.0,False
648,[[310  15]],0,1437.6531,[[287  19]],1.2,0.75,0.0,False
649,[[287  19]],0,1668.69504,[[306  17]],1.2,0.8,0.0,False
650,[[306  17]],0,1737.84574,[[296  11]],1.2,0.85,0.0,False
651,[[296  11]],2,1882.5058799999997,[[321  22]],1.2,0.85,0.0,False
652,[[321  22]],2,1707.9444399999998,[[299  16]],1.2,0.85,0.0,False
653,[[299  16]],2,1808.3614,[[311  15]],1.2,0.85,0.0,False
654,[[311  15]],0,1762.50384,[[288  17]],1.2,0.9,0.0,False
655,[[288  17]],0,1919.7660799999999,[[293  22]],1.2,0.95,0.0,False
656,[[293  22]],1,1746.50904,[[288  16]],1.2,0.9,0.0,False
657,[[288  16]],2,1954.2689999999998,[[311  11]],1.2,0.9,0.0,False
658,[[311  11]],0,1801.7506199999998,[[288  20]],1.2,0.95,0.0,False
659,[[288  20]],0,2141.2568,[[316  11]],1.2,1.0,0.0,False
660,[[316  11]],2,2296.8224,[[328  13]],1.2,1.0,0.0,False
661,[[328  13]],0,1857.4947999999997,[[278  22]],1.2,1.0,0.0,False
662,[[278  22]],1,2026.4324599999998,[[302  17]],1.2,0.95,0.0,False
663,[[302  17]],0,2090.0024,[[307  13]],1.2,1.0,0.0,False
664,[[307  13]],1,1891.3739999999998,[[279  18]],1.2,0.95,0.0,False
665,[[279  18]],0,2201.0572,[[308  14]],1.2,1.0,0.0,False
666,[[308  14]],2,2055.4008,[[300  18]],1.2,1.0,0.0,False
667,[[300  18]],0,1767.4515999999999,[[263  20]],1.2,1.0,0.0,False
668,[[263  20]],0,2259.768,[[318  19]],1.2,1.0,0.0,False
669,[[318  19]],1,1953.9390999999998,[[298  16]],1.2,0.95,0.0,False
670,[[298  16]],1,1826.7678,[[292  15]],1.2,0.9,0.0,False
671,[[292  15]],1,1824.21492,[[306  16]],1.2,0.85,0.0,False
672,[[306  16]],2,1578.70636,[[269  20]],1.2,0.85,0.0,False
673,[[269  20]],1,1777.84192,[[316  16]],1.2,0.8,0.0,False
674,[[316  16]],0,1589.4401599999999,[[277  19]],1.2,0.85,0.0,False
675,[[277  19]],0,1747.08648,[[292  13]],1.2,0.9,0.0,False
676,[[292  13]],1,1692.99498,[[297  17]],1.2,0.85,0.0,False
