,nP_share,nV_share,Platform_rev
81,0.034,0.025,52.49512
82,0.0335,0.03,48.59564
83,0.029,0.04,41.19932
84,0.0405,0.03,55.53036
85,0.033,0.03,49.104
86,0.033,0.025,46.1886
87,0.0395,0.05,56.65664
88,0.031,0.02,43.88248
89,0.036,0.04,53.20284
90,0.037,0.03,55.66636
91,0.0365,0.055,47.7794
92,0.0355,0.055,48.93628
93,0.04,0.03,54.1486
94,0.042,0.04,59.53728
95,0.035,0.045,48.05384
96,0.0415,0.055,57.1576
97,0.03,0.03,44.59068
98,0.0395,0.02,55.0274
99,0.035,0.025,49.36844
100,0.0415,0.03,-146.0738
101,0.035,0.03,-129.63908000000004
102,0.0445,0.02,-154.317
103,0.039,0.05,-131.54900000000004
104,0.0425,0.025,-154.60136
105,0.0395,0.04,-138.09652
106,0.042,0.035,-137.02404
107,0.048,0.04,-165.42644
108,0.044,0.03,-121.75308000000001
109,0.0485,0.03,-165.05356
110,0.0475,0.065,-158.66268
111,0.047,0.035,-124.02780000000001
112,0.0545,0.045,-160.11648000000002
113,0.0485,0.06,-126.43036000000001
114,0.0515,0.04,-118.51160000000002
115,0.042,0.04,-67.67772000000001
116,0.0585,0.04,-134.32756000000003
117,0.0525,0.05,-94.56364000000002
118,0.0535,0.065,-120.22152000000001
119,0.0635,0.015,-147.93892000000002
120,0.048,0.04,-112.69380000000001
121,0.056,0.035,-160.55028000000001
122,0.053,0.04,-112.61732000000002
123,0.055,0.06,-129.30312000000004
124,0.0675,0.045,-171.65944000000002
125,0.061,0.045,-129.25008000000003
126,0.063,0.055,-116.35424000000002
127,0.073,0.055,-144.09232000000003
128,0.0605,0.06,-91.08128000000002
129,0.071,0.045,-148.80632000000003
130,0.073,0.06,-146.53968000000003
131,0.064,0.1,-57.307320000000004
132,0.0785,0.07,-112.28144000000002
133,0.083,0.09,-106.20852000000002
134,0.081,0.05,-85.53860000000002
135,0.0895,0.075,-109.37776000000001
136,0.0985,0.065,-133.14412000000004
137,0.0895,0.07,-144.55036
138,0.095,0.07,-105.73684000000002
139,0.0945,0.075,-117.95920000000002
140,0.109,0.07,-161.50396000000003
141,0.099,0.1,-86.80584000000002
142,0.098,0.09,-61.123280000000015
143,0.1045,0.105,-69.20824000000002
144,0.115,0.095,-81.21680000000002
145,0.1125,0.085,-64.15640000000002
146,0.115,0.105,-77.64328000000002
147,0.122,0.08,-55.34632000000001
148,0.1235,0.105,-71.47608000000002
149,0.126,0.11,-63.92652000000002
150,0.122,0.1,-29.391600000000015
151,0.1275,0.095,-26.463080000000012
152,0.133,0.085,-43.01248000000001
153,0.139,0.105,-91.48452000000003
154,0.1355,0.105,-36.48112000000002
155,0.1515,0.1,-63.77144000000003
156,0.146,0.11,-34.835640000000026
157,0.1475,0.135,-47.45432000000002
158,0.157,0.13,-14.505720000000016
159,0.1685,0.15,-56.10604000000003
160,0.176,0.15,-34.867880000000014
