,nP_share,nV_share,Platform_rev
460,0.178,0.15,116.89508
461,0.1695,0.185,112.7958
462,0.1785,0.12,240.98532
463,0.171,0.175,224.06124
464,0.1735,0.185,346.3692
465,0.1695,0.195,332.38259999999997
466,0.172,0.195,229.80568
467,0.179,0.16,232.66976
468,0.1735,0.13,350.8026
469,0.175,0.19,466.20488
470,0.1915,0.165,510.72032
471,0.1855,0.135,631.8622
472,0.176,0.17,569.2016
473,0.1855,0.17,741.14004
474,0.1985,0.155,792.21588
475,0.1775,0.145,722.0043599999999
476,0.186,0.12,853.00488
477,0.186,0.205,748.26396
478,0.1925,0.16,776.7095999999999
479,0.1905,0.145,760.7210399999999
480,0.1855,0.16,623.8045
481,0.189,0.115,626.5029
482,0.198,0.115,672.369
483,0.193,0.155,752.8832399999999
484,0.203,0.15,675.9739999999999
485,0.197,0.19,650.2615999999999
486,0.201,0.165,539.6279999999999
487,0.198,0.145,389.24712
488,0.2145,0.155,433.29527999999993
489,0.1915,0.12,506.78504
490,0.1945,0.125,384.73044
491,0.1915,0.115,380.85522
492,0.2085,0.165,552.29976
493,0.1995,0.15,522.0352800000001
494,0.2065,0.14,537.6828800000001
495,0.1935,0.19,629.3559
496,0.208,0.155,677.1538
497,0.1985,0.135,766.5701999999999
498,0.1985,0.18,786.0735599999999
499,0.193,0.115,632.7855999999999
500,0.21,0.16,689.9814
501,0.203,0.155,803.02128
502,0.192,0.13,754.6554
503,0.212,0.155,979.3453599999999
504,0.212,0.2,843.7664399999999
505,0.2225,0.115,918.5240399999999
506,0.2195,0.165,1005.4235799999999
507,0.2065,0.135,1075.77808
508,0.214,0.14,1125.23872
509,0.2005,0.13,914.9667799999999
510,0.211,0.11,987.84224
511,0.2105,0.14,856.64868
512,0.2055,0.12,937.6189199999999
513,0.2175,0.165,1139.74176
514,0.223,0.075,1144.86928
515,0.2175,0.08,1326.2723999999998
516,0.204,0.095,1175.64264
517,0.205,0.15,1087.92736
518,0.209,0.11,1236.51936
519,0.2115,0.07,1277.06598
520,0.206,0.135,1394.4526
521,0.197,0.125,1270.5484
522,0.193,0.11,1261.2559999999999
523,0.206,0.08,1477.27844
524,0.1955,0.14,1457.77808
525,0.204,0.1,1356.6276
526,0.193,0.085,1383.4354600000001
527,0.2015,0.115,1340.3032
528,0.2005,0.115,1458.26296
529,0.1835,0.05,1348.02866
530,0.1915,0.095,1421.37754
531,0.194,0.115,1435.5948200000003
532,0.198,0.08,1434.3516
533,0.182,0.045,1380.5594399999998
534,0.1775,0.09,1335.7388
535,0.1905,0.105,1283.0124
536,0.186,0.07,1146.26178
537,0.196,0.07,1078.09408
