,Unnamed: 0,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,mu,INFORMED,working_U,working_P,OUT_TOMORROW,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
273,136,0.051313629355442,0.0122146004258638,0.7788448407561396,14.0,15.0,0.0,14.142857142857142,14009.285714285714,6790.142857142857,64.5407142857143,140.09285714285716,89.33005714285714,35.02321428571429,22.33251428571429,111.6625714285714,54.30684285714286,1.0,1.0,0.1526848300936821,0.1785869468179221,0.9285714285714286,0.0,0.0,443.57142857142856,51.21428571428572,0.0,298.35714285714283,0.0,6454.071428571428,0.0,450.0,7555.214285714285,0.0,0.0,0.0,0.0,6346.571428571428
274,137,0.0508139275142339,0.0123451230988778,0.7788448407561396,23.0,10.26086956521739,0.0,14.173913043478262,8935.304347826086,12004.478260869566,35.780869565217394,89.35304347826086,62.92146086956521,22.33826086956521,15.730365217391302,78.65182608695652,40.58320000000001,1.0,1.0,0.0993566816248311,0.1485073675039138,0.9130434782608696,0.0,0.0,4747.478260869565,146.91304347826087,0.0,204.4782608695652,0.0,3578.086956521739,0.0,307.8260869565217,5357.217391304348,0.0,0.0,0.0,0.0,7257.0
275,137,0.0508139275142339,0.0123451230988778,0.7788448407561396,23.0,10.26086956521739,0.0,14.173913043478262,8935.304347826086,12004.478260869566,35.780869565217394,89.35304347826086,62.92146086956521,22.33826086956521,15.730365217391302,78.65182608695652,40.58320000000001,1.0,1.0,0.0993566816248311,0.1485073675039138,0.9130434782608696,0.0,0.0,4747.478260869565,146.91304347826087,0.0,204.4782608695652,0.0,3578.086956521739,0.0,307.8260869565217,5357.217391304348,0.0,0.0,0.0,0.0,7257.0
276,138,0.0536998620916518,0.012394598275088,0.7788448407561396,17.0,13.529411764705882,0.0,11.647058823529411,12899.29411764706,7934.058823529412,57.796470588235294,128.9929411764706,83.50155294117647,32.24823529411765,20.87538823529412,104.3769411764706,51.25331764705883,1.0,1.0,0.0964499076577352,0.1280484600061475,0.7058823529411765,0.0,0.0,1303.764705882353,90.52941176470588,0.0,269.2352941176471,0.0,5779.64705882353,0.0,405.88235294117646,7119.64705882353,0.0,0.0,0.0,0.0,6630.294117647059
277,138,0.0536998620916518,0.012394598275088,0.7788448407561396,17.0,13.529411764705882,0.0,11.647058823529411,12899.29411764706,7934.058823529412,57.796470588235294,128.9929411764706,83.50155294117647,32.24823529411765,20.87538823529412,104.3769411764706,51.25331764705883,1.0,1.0,0.0964499076577352,0.1280484600061475,0.7058823529411765,0.0,0.0,1303.764705882353,90.52941176470588,0.0,269.2352941176471,0.0,5779.64705882353,0.0,405.88235294117646,7119.64705882353,0.0,0.0,0.0,0.0,6630.294117647059
278,139,0.0522338645430125,0.012439784205363,0.7788448407561396,23.0,9.608695652173912,0.0,13.782608695652174,8579.869565217392,12403.869565217392,35.42521739130436,85.7986956521739,59.120278260869554,21.44967391304348,14.780069565217389,73.90034782608697,37.6706043478261,1.0,1.0,0.0931637773022763,0.1366570149640837,0.9130434782608696,0.0,0.0,5511.086956521739,135.43478260869566,0.0,191.56521739130437,0.0,3542.521739130435,0.0,288.2608695652174,5037.347826086957,0.0,0.0,0.0,0.0,6892.782608695652
279,139,0.0522338645430125,0.012439784205363,0.7788448407561396,23.0,9.608695652173912,0.0,13.782608695652174,8579.869565217392,12403.869565217392,35.42521739130436,85.7986956521739,59.120278260869554,21.44967391304348,14.780069565217389,73.90034782608697,37.6706043478261,1.0,1.0,0.0931637773022763,0.1366570149640837,0.9130434782608696,0.0,0.0,5511.086956521739,135.43478260869566,0.0,191.56521739130437,0.0,3542.521739130435,0.0,288.2608695652174,5037.347826086957,0.0,0.0,0.0,0.0,6892.782608695652
280,140,0.0526353198188821,0.0124952220524583,0.7788448407561396,20.0,12.5,0.0,12.3,12231.7,8609.95,58.79400000000002,122.317,74.98208,30.57925,18.74552,93.7276,44.40283000000001,1.0,1.0,0.0475932249567898,0.0972737160212248,0.9,0.0,0.0,1701.05,132.35,0.0,250.0,0.0,5879.4,0.0,375.0,6352.3,0.0,0.0,0.0,0.0,6908.9
281,140,0.0526353198188821,0.0124952220524583,0.7788448407561396,20.0,12.5,0.0,12.3,12231.7,8609.95,58.79400000000002,122.317,74.98208,30.57925,18.74552,93.7276,44.40283000000001,1.0,1.0,0.0475932249567898,0.0972737160212248,0.9,0.0,0.0,1701.05,132.35,0.0,250.0,0.0,5879.4,0.0,375.0,6352.3,0.0,0.0,0.0,0.0,6908.9
282,141,0.0549172577765681,0.012523108188384,0.7788448407561396,21.0,12.571428571428571,0.0,13.476190476190476,11514.190476190475,9330.380952380952,50.22809523809524,115.14190476190475,76.39725714285714,28.785476190476192,19.09931428571429,95.49657142857144,47.61178095238096,1.0,1.0,0.0760145640600371,0.1186235989372151,0.9523809523809524,0.0,0.0,2311.0,127.14285714285714,0.0,250.14285714285717,0.0,5022.809523809524,0.0,377.1428571428572,6491.380952380952,0.0,0.0,0.0,0.0,7019.380952380952
283,141,0.0549172577765681,0.012523108188384,0.7788448407561396,21.0,12.571428571428571,0.0,13.476190476190476,11514.190476190475,9330.380952380952,50.22809523809524,115.14190476190475,76.39725714285714,28.785476190476192,19.09931428571429,95.49657142857144,47.61178095238096,1.0,1.0,0.0760145640600371,0.1186235989372151,0.9523809523809524,0.0,0.0,2311.0,127.14285714285714,0.0,250.14285714285717,0.0,5022.809523809524,0.0,377.1428571428572,6491.380952380952,0.0,0.0,0.0,0.0,7019.380952380952
284,142,0.0570342610738264,0.0126159526513939,0.7788448407561396,17.0,14.0,0.0,13.882352941176473,13602.529411764706,7229.058823529412,63.66117647058824,136.02529411764706,85.14955294117647,34.006323529411766,21.28738823529412,106.43694117647058,51.14322941176471,1.0,1.0,0.1146467746756586,0.1558072272442125,0.8235294117647058,0.0,0.0,787.9411764705883,67.41176470588235,0.0,280.0,0.0,6366.117647058823,0.0,420.0,7236.411764705882,0.0,0.0,0.0,0.0,6441.117647058823
