,state,action,reward,next_state,fare,comm_rate,discount,Marketing
459,[[306  17]],1,1848.53002,[[320  18]],1.2,0.85,0.0,False
460,[[320  18]],1,1675.65344,[[311  13]],1.2,0.8,0.0,False
461,[[311  13]],0,1698.38636,[[301  12]],1.2,0.85,0.0,False
462,[[301  12]],1,1569.576,[[297  15]],1.2,0.8,0.0,False
463,[[297  15]],2,1650.97376,[[305  15]],1.2,0.8,0.0,False
464,[[305  15]],0,1631.0789399999999,[[291  10]],1.2,0.85,0.0,False
465,[[291  10]],0,1788.8994,[[287   7]],1.2,0.9,0.0,False
466,[[287   7]],2,1588.11264,[[268  19]],1.2,0.9,0.0,False
467,[[268  19]],1,1701.7754799999998,[[296  15]],1.2,0.85,0.0,False
468,[[296  15]],0,1819.75752,[[304  12]],1.2,0.9,0.0,False
469,[[304  12]],1,1796.50968,[[303  14]],1.2,0.85,0.0,False
470,[[303  14]],1,1631.4736,[[295  12]],1.2,0.8,0.0,False
471,[[295  12]],1,1399.2071999999998,[[280  17]],1.2,0.75,0.0,False
472,[[280  17]],2,1568.8851,[[304  19]],1.2,0.75,0.0,False
473,[[304  19]],1,1482.9623199999996,[[302  18]],1.2,0.7,0.0,False
474,[[302  18]],2,1500.5281199999997,[[315  18]],1.2,0.7,0.0,False
475,[[315  18]],2,1337.1271199999996,[[282  18]],1.2,0.7,0.0,False
476,[[282  18]],0,1560.2885999999999,[[309  12]],1.2,0.75,0.0,False
477,[[309  12]],1,1444.1414399999999,[[303  17]],1.2,0.7,0.0,False
478,[[303  17]],0,1623.0075,[[316  10]],1.2,0.75,0.0,False
479,[[316  10]],1,1395.5309199999997,[[296  16]],1.2,0.7,0.0,False
480,[[296  16]],1,1163.97684,[[273  21]],1.2,0.65,0.0,False
481,[[273  21]],1,1321.47456,[[314  16]],1.2,0.6,0.0,False
482,[[314  16]],0,1317.2655599999998,[[300  18]],1.2,0.65,0.0,False
483,[[300  18]],1,1067.4801599999998,[[269  22]],1.2,0.6,0.0,False
484,[[269  22]],1,984.5250800000001,[[274  15]],1.2,0.55,0.0,False
485,[[274  15]],1,991.5809999999999,[[294  20]],1.2,0.5,0.0,False
486,[[294  20]],2,936.0935999999999,[[282  14]],1.2,0.5,0.0,False
487,[[282  14]],1,870.24924,[[292  11]],1.2,0.45,0.0,False
488,[[292  11]],1,762.9121600000001,[[293  19]],1.2,0.4,0.0,False
489,[[293  19]],0,937.30986,[[303  10]],1.2,0.45,0.0,False
490,[[303  10]],2,874.32624,[[295  17]],1.2,0.45,0.0,False
491,[[295  17]],1,865.78512,[[309  21]],1.2,0.4,0.0,False
492,[[309  21]],1,692.7145399999999,[[296  18]],1.2,0.35,0.0,False
493,[[296  18]],0,747.7001600000001,[[280  14]],1.2,0.4,0.0,False
494,[[280  14]],1,704.49442,[[301  20]],1.2,0.35,0.0,False
495,[[301  20]],1,632.8348799999999,[[304  10]],1.2,0.3,0.0,False
496,[[304  10]],0,762.1033,[[310  16]],1.2,0.35,0.0,False
497,[[310  16]],2,646.17616,[[280  11]],1.2,0.35,0.0,False
498,[[280  11]],0,805.20064,[[302  17]],1.2,0.4,0.0,False
499,[[302  17]],2,754.69616,[[289  17]],1.2,0.4,0.0,False
500,[[289  17]],0,811.72404,[[268  12]],1.2,0.45,0.0,False
501,[[268  12]],0,944.2474,[[268  13]],1.2,0.5,0.0,False
502,[[268  13]],0,1025.8694600000001,[[277  16]],1.2,0.55,0.0,False
503,[[277  16]],0,1157.0138399999998,[[286  15]],1.2,0.6,0.0,False
504,[[286  15]],2,1215.0501599999998,[[298  17]],1.2,0.6,0.0,False
505,[[298  17]],2,1226.7295199999999,[[306  18]],1.2,0.6,0.0,False
506,[[306  18]],1,1148.9572600000001,[[293  17]],1.2,0.55,0.0,False
507,[[293  17]],2,1078.07458,[[284  21]],1.2,0.55,0.0,False
508,[[284  21]],2,1083.8861000000002,[[292  15]],1.2,0.55,0.0,False
509,[[292  15]],1,915.5032,[[283  19]],1.2,0.5,0.0,False
510,[[283  19]],2,958.7882,[[290  14]],1.2,0.5,0.0,False
511,[[290  14]],0,1031.15364,[[285  21]],1.2,0.55,0.0,False
512,[[285  21]],2,1107.3414,[[297  17]],1.2,0.55,0.0,False
513,[[297  17]],2,1160.40276,[[312  21]],1.2,0.55,0.0,False
514,[[312  21]],1,1021.0123999999998,[[299  16]],1.2,0.5,0.0,False
515,[[299  16]],2,974.6693999999999,[[294  16]],1.2,0.5,0.0,False
516,[[294  16]],0,1047.71018,[[283  18]],1.2,0.55,0.0,False
517,[[283  18]],2,1101.03312,[[294  13]],1.2,0.55,0.0,False
518,[[294  13]],1,946.1682,[[288   5]],1.2,0.5,0.0,False
519,[[288   5]],1,829.25964,[[273  13]],1.2,0.45,0.0,False
520,[[273  13]],2,914.98968,[[290  15]],1.2,0.45,0.0,False
521,[[290  15]],2,935.65422,[[300  12]],1.2,0.45,0.0,False
522,[[300  12]],1,781.93168,[[287  17]],1.2,0.4,0.0,False
523,[[287  17]],1,711.1812399999999,[[295  14]],1.2,0.35,0.0,False
524,[[295  14]],1,574.5175199999999,[[285  11]],1.2,0.3,0.0,False
525,[[285  11]],0,647.34908,[[278  14]],1.2,0.35,0.0,False
526,[[278  14]],0,755.88096,[[282  18]],1.2,0.4,0.0,False
527,[[282  18]],0,866.3115599999999,[[280   7]],1.2,0.45,0.0,False
528,[[280   7]],0,944.5978,[[265  15]],1.2,0.5,0.0,False
529,[[265  15]],0,1005.7313200000001,[[278  10]],1.2,0.55,0.0,False
530,[[278  10]],0,1187.7873599999998,[[280  13]],1.2,0.6,0.0,False
531,[[280  13]],1,985.0445000000001,[[265  13]],1.2,0.55,0.0,False
532,[[265  13]],1,951.9491999999999,[[288  16]],1.2,0.5,0.0,False
533,[[288  16]],0,1151.8440999999998,[[293  15]],1.2,0.55,0.0,False
534,[[293  15]],2,1106.33952,[[291  16]],1.2,0.55,0.0,False
535,[[291  16]],0,1112.61,[[271  22]],1.2,0.6,0.0,False
536,[[271  22]],2,1255.14864,[[306  19]],1.2,0.6,0.0,False
537,[[306  19]],0,1159.8927600000002,[[264  13]],1.2,0.65,0.0,False
538,[[264  13]],0,1429.0950799999998,[[295  18]],1.2,0.7,0.0,False
539,[[295  18]],1,1175.3671800000002,[[270  16]],1.2,0.65,0.0,False
540,[[270  16]],2,1217.6392799999999,[[276  15]],1.2,0.65,0.0,False
541,[[276  15]],2,1248.99476,[[281  12]],1.2,0.65,0.0,False
542,[[281  12]],0,1311.4110799999999,[[280  14]],1.2,0.7,0.0,False
543,[[280  14]],1,1309.54408,[[295  18]],1.2,0.65,0.0,False
544,[[295  18]],0,1354.0973599999998,[[289  15]],1.2,0.7,0.0,False
545,[[289  15]],0,1552.6605,[[296  16]],1.2,0.75,0.0,False
546,[[296  16]],2,1504.3344,[[286  11]],1.2,0.75,0.0,False
547,[[286  11]],2,1443.1836,[[284  13]],1.2,0.75,0.0,False
548,[[284  13]],2,1338.7818,[[260  13]],1.2,0.75,0.0,False
549,[[260  13]],2,1392.9369,[[280  18]],1.2,0.75,0.0,False
550,[[280  18]],1,1278.2103599999998,[[273  11]],1.2,0.7,0.0,False
551,[[273  11]],1,1099.08422,[[257  16]],1.2,0.65,0.0,False
552,[[257  16]],1,1212.8090399999999,[[288  14]],1.2,0.6,0.0,False
553,[[288  14]],2,1277.13312,[[312  22]],1.2,0.6,0.0,False
554,[[312  22]],1,1123.4927,[[289   8]],1.2,0.55,0.0,False
555,[[289   8]],1,954.6664000000001,[[280  22]],1.2,0.5,0.0,False
556,[[280  22]],0,1182.15438,[[309  14]],1.2,0.55,0.0,False
557,[[309  14]],1,1038.7785999999999,[[301  17]],1.2,0.5,0.0,False
558,[[301  17]],1,877.6135800000001,[[290  14]],1.2,0.45,0.0,False
559,[[290  14]],0,931.0986,[[279  23]],1.2,0.5,0.0,False
560,[[279  23]],2,945.4248,[[276  19]],1.2,0.5,0.0,False
561,[[276  19]],2,959.8399999999999,[[287  18]],1.2,0.5,0.0,False
562,[[287  18]],2,946.9762000000001,[[277  20]],1.2,0.5,0.0,False
563,[[277  20]],0,1078.99198,[[287  15]],1.2,0.55,0.0,False
564,[[287  15]],1,932.0132000000001,[[275  17]],1.2,0.5,0.0,False
