veh,ACCEPTANCE_RATE,PROFIT,PROFIT/hour,IDLE_TIME,nREQUESTS,nRIDES,nREJECTS,DRIVING_DIST,AVE_DRIVING_DIST,DRIVING_TIME,AVE_PICKUP_DIST,AVE_TRIP_DIST,REVENUE,surge_fee,REVENUE/hour,COST,IMPOSED_DELAY,AR
84,82.05128205128204,254.3485,31.7935625,746.0,39,32,7.0,265.71,8.3034375,26571.0,2.4759375,5.8275,320.776,33,40.097,66.4275,386,80-90
85,77.77777777777779,237.9585,29.7448125,1645.0,45,35,10.0,248.63,7.103714285714285,24863.0,2.362857142857143,4.740857142857143,300.116,31,37.5145,62.1575,459,70-80
86,92.3076923076923,276.6575,34.5821875,661.0,39,36,3.0,258.33,7.175833333333333,25833.0,1.7536111111111112,5.422222222222222,341.24,35,42.655,64.5825,55,90-100
87,88.57142857142857,234.46999999999997,29.308749999999996,890.0,35,31,4.0,259.96,8.385806451612902,25996.0,2.835806451612903,5.55,299.46,31,37.4325,64.99,186,80-90
88,76.92307692307693,239.4765,29.9345625,562.0,39,30,9.0,265.55,8.851666666666667,26555.0,2.6610000000000005,6.190666666666667,305.864,23,38.233,66.3875,294,70-80
89,78.57142857142857,249.23950000000002,31.154937500000003,509.0,42,33,9.0,260.29,7.887575757575759,26029.0,2.500909090909091,5.386666666666667,314.312,35,39.289,65.0725,477,70-80
90,88.23529411764706,237.7575,29.7196875,1356.0,34,30,4.0,254.81,8.493666666666666,25481.0,2.5086666666666666,5.985,301.46,26,37.6825,63.7025,287,80-90
91,84.61538461538461,264.2985,33.0373125,911.0,39,33,6.0,264.87,8.026363636363637,26487.0,2.18,5.846363636363637,330.516,33,41.3145,66.2175,288,80-90
92,92.6829268292683,273.7135,34.2141875,550.0,41,38,3.0,263.69,6.939210526315789,26369.0,2.056842105263158,4.8823684210526315,339.636,41,42.4545,65.9225,88,90-100
93,82.05128205128204,236.4725,29.5590625,672.0,39,32,7.0,258.59000000000003,8.080937500000001,25859.0,2.6871875,5.39375,301.12,30,37.64,64.64750000000001,117,80-90
94,87.17948717948718,260.8065,32.6008125,766.0,39,34,5.0,258.15,7.592647058823529,25815.0,2.192058823529412,5.4005882352941175,325.344,37,40.668,64.5375,409,80-90
95,86.66666666666667,284.98150000000004,35.622687500000005,989.0,45,39,6.0,254.09,6.515128205128205,25409.0,1.6966666666666665,4.818461538461539,348.504,45,43.563,63.5225,412,80-90
96,87.17948717948718,264.61800000000005,33.07725000000001,672.0,39,34,5.0,263.64,7.754117647058823,26364.0,2.226470588235294,5.527647058823529,330.528,37,41.316,65.91,207,80-90
97,88.88888888888889,239.24050000000003,29.905062500000003,896.0,36,32,4.0,257.63,8.0509375,25763.0,2.5653125,5.485625,303.648,29,37.956,64.4075,469,80-90
98,83.72093023255815,280.1435,35.0179375,557.0,43,36,7.0,260.61,7.239166666666667,26061.0,1.7230555555555556,5.516111111111111,345.296,35,43.162,65.1525,527,80-90
99,80.48780487804879,267.38,33.4225,690.0,41,33,8.0,262.4,7.951515151515151,26240.0,2.0681818181818183,5.883333333333334,332.97999999999996,34,41.622499999999995,65.6,289,80-90
100,86.11111111111111,229.2615,28.6576875,1473.0,36,31,5.0,255.05,8.22741935483871,25505.0,2.6622580645161293,5.565161290322581,293.024,24,36.628,63.7625,112,80-90
101,83.33333333333334,224.14899999999997,28.018624999999997,1207.0,36,30,6.0,256.86,8.562000000000001,25686.0,2.9130000000000003,5.649,288.364,25,36.0455,64.215,127,80-90
102,86.48648648648648,252.203,31.525375,878.0,37,32,5.0,261.62,8.175625,26162.0,2.274375,5.90125,317.608,27,39.701,65.405,120,80-90
103,96.875,259.3315,32.4164375,702.0,32,31,1.0,269.97,8.708709677419355,26997.0,2.5306451612903227,6.178064516129032,326.824,35,40.853,67.4925,15,90-100
104,82.05128205128204,260.3315,32.5414375,937.0,39,32,7.0,259.89,8.1215625,25989.0,2.1240625,5.9975000000000005,325.304,31,40.663,64.9725,445,80-90
105,77.27272727272727,266.28999999999996,33.286249999999995,988.0,44,34,10.0,253.24,7.448235294117647,25324.0,1.9188235294117646,5.529411764705883,329.59999999999997,36,41.199999999999996,63.31,475,70-80
106,80.0,267.93149999999997,33.491437499999996,589.0,40,32,8.0,266.21,8.3190625,26621.0,2.0825,6.2365625,334.484,31,41.8105,66.5525,670,70-80
107,87.87878787878788,240.89549999999997,30.111937499999996,1294.0,33,29,4.0,263.41,9.083103448275862,26341.0,2.797241379310345,6.285862068965518,306.748,30,38.3435,65.8525,180,80-90
108,93.54838709677419,253.30999999999997,31.663749999999997,716.0,31,29,2.0,262.36,9.046896551724139,26236.0,2.4693103448275866,6.577586206896552,318.9,32,39.8625,65.59,99,90-100
109,82.5,265.987,33.248375,1020.0,40,33,7.0,259.78000000000003,7.872121212121213,25978.0,1.99,5.882121212121213,330.932,32,41.3665,64.94500000000001,449,80-90
110,82.92682926829268,248.98250000000002,31.122812500000002,1390.0,41,34,7.0,262.07,7.707941176470588,26207.0,2.303529411764706,5.404411764705883,314.5,26,39.3125,65.5175,131,80-90
111,86.48648648648648,242.82800000000003,30.353500000000004,504.0,37,32,5.0,270.8,8.4625,27080.0,2.98,5.4825,310.528,36,38.816,67.7,156,80-90
112,81.57894736842105,251.2415,31.4051875,774.0,38,31,7.0,258.65,8.343548387096773,25865.0,2.459032258064516,5.884516129032258,315.904,35,39.488,64.6625,202,80-90
113,87.17948717948718,236.0985,29.5123125,722.0,39,34,5.0,258.47,7.602058823529412,25847.0,2.633529411764706,4.968529411764706,300.716,30,37.5895,64.6175,145,80-90
114,80.95238095238095,253.335,31.666875,913.0,42,34,8.0,254.9,7.497058823529412,25490.0,2.348529411764706,5.148529411764706,317.06,39,39.6325,63.725,782,80-90
115,76.59574468085107,288.5855,36.0731875,625.0,47,36,11.0,259.85,7.218055555555556,25985.0,1.6266666666666667,5.591388888888889,353.548,40,44.1935,64.9625,411,70-80
116,91.17647058823529,254.4135,31.8016875,1399.0,34,31,3.0,257.53000000000003,8.30741935483871,25753.0,2.1838709677419352,6.123548387096775,318.796,29,39.8495,64.38250000000001,175,90-100
117,79.54545454545455,254.753,31.844125,634.0,44,35,9.0,259.42,7.412000000000001,25942.0,2.3022857142857145,5.109714285714286,319.608,35,39.951,64.855,443,70-80
118,82.05128205128204,258.5875,32.3234375,598.0,39,32,7.0,262.69,8.2090625,26269.0,2.160625,6.0484375,324.26,28,40.5325,65.6725,562,80-90
119,87.5,230.9895,28.8736875,695.0,32,28,4.0,271.61,9.700357142857143,27161.0,3.0964285714285715,6.603928571428571,298.892,21,37.3615,67.9025,334,80-90
120,85.0,261.8585,32.7323125,601.0,40,34,6.0,263.67,7.755000000000001,26367.0,2.270294117647059,5.484705882352942,327.776,36,40.972,65.9175,341,80-90
121,78.78787878787878,235.23950000000002,29.404937500000003,744.0,33,26,7.0,263.01,10.11576923076923,26301.0,2.8403846153846155,7.275384615384616,300.992,22,37.624,65.7525,266,70-80
122,75.60975609756098,250.39799999999997,31.299749999999996,1175.0,41,31,10.0,253.96,8.19225806451613,25396.0,2.3619354838709676,5.830322580645161,313.888,35,39.236,63.49,673,70-80
123,81.81818181818183,285.49,35.68625,1273.0,44,36,8.0,258.6,7.183333333333334,25860.0,1.6708333333333334,5.5125,350.14,40,43.7675,64.65,518,80-90
124,91.42857142857143,250.021,31.252625,586.0,35,32,3.0,261.1,8.159375,26110.0,2.4225,5.736875,315.296,31,39.412,65.275,102,90-100
125,85.36585365853658,260.903,32.612875,998.0,41,35,6.0,261.78000000000003,7.479428571428572,26178.0,2.1854285714285715,5.294,326.348,34,40.7935,65.44500000000001,149,80-90
126,92.85714285714286,297.5325,37.1915625,732.0,42,39,3.0,260.11,6.66948717948718,26011.0,1.507948717948718,5.161538461538462,362.56,43,45.32,65.0275,178,90-100
127,78.37837837837837,238.437,29.804625,542.0,37,29,8.0,271.98,9.378620689655174,27198.0,2.900689655172414,6.477931034482758,306.432,23,38.304,67.995,434,70-80
128,82.5,274.74899999999997,34.343624999999996,917.0,40,33,7.0,261.26,7.916969696969697,26126.0,1.8042424242424244,6.112727272727272,340.06399999999996,32,42.507999999999996,65.315,375,80-90
129,82.85714285714286,240.08049999999997,30.010062499999997,828.0,35,29,6.0,261.47,9.016206896551726,26147.0,2.738965517241379,6.277241379310346,305.448,29,38.181,65.3675,186,80-90
130,69.76744186046511,243.6425,30.4553125,1184.0,43,30,13.0,261.11,8.703666666666667,26111.0,2.6503333333333337,6.053333333333334,308.92,31,38.615,65.2775,962,60-70
131,89.47368421052632,273.658,34.20725,818.0,38,34,4.0,259.96,7.645882352941176,25996.0,1.7476470588235293,5.898235294117647,338.648,30,42.331,64.99,131,80-90
132,89.1891891891892,273.815,34.226875,664.0,37,33,4.0,264.02,8.00060606060606,26402.0,2.0203030303030305,5.9803030303030305,339.82,37,42.4775,66.005,275,80-90
133,94.44444444444444,272.60699999999997,34.075874999999996,786.0,36,34,2.0,264.66,7.7841176470588245,26466.0,1.9073529411764707,5.876764705882352,338.772,31,42.3465,66.165,190,90-100
134,73.68421052631578,215.2825,26.9103125,1038.0,38,28,10.0,257.59000000000003,9.199642857142859,25759.0,3.0782142857142856,6.121428571428571,279.68,18,34.96,64.39750000000001,449,70-80
135,84.84848484848484,232.55650000000003,29.069562500000004,802.0,33,28,5.0,267.31,9.546785714285715,26731.0,3.0175,6.529285714285715,299.384,24,37.423,66.8275,181,80-90
136,77.08333333333334,281.2365,35.1545625,1076.0,48,37,11.0,255.87,6.915405405405406,25587.0,1.572972972972973,5.342432432432433,345.204,34,43.1505,63.9675,409,70-80
137,86.48648648648648,254.54749999999999,31.818437499999998,1153.0,37,32,5.0,255.89000000000001,7.9965625000000005,25589.0,2.1496875,5.846875,318.52,30,39.815,63.972500000000004,448,80-90
138,88.88888888888889,244.67899999999997,30.584874999999997,690.0,36,32,4.0,261.94,8.185625,26194.0,2.6084375,5.5771875,310.164,32,38.7705,65.485,357,80-90
139,88.88888888888889,245.486,30.68575,474.0,36,32,4.0,263.08,8.22125,26308.0,2.615625,5.605625,311.256,32,38.907,65.77,171,80-90
140,72.72727272727273,252.6745,31.5843125,799.0,44,32,12.0,264.15,8.2546875,26415.0,2.2465625,6.008125,318.712,24,39.839,66.0375,868,70-80
141,83.33333333333334,260.979,32.622375,1070.0,42,35,7.0,254.26000000000002,7.264571428571429,25426.0,2.0611428571428574,5.203428571428572,324.544,36,40.568,63.565000000000005,355,80-90
142,82.92682926829268,250.34449999999998,31.293062499999998,850.0,41,34,7.0,261.79,7.699705882352942,26179.0,2.3861764705882353,5.313529411764706,315.792,31,39.474,65.4475,567,80-90
143,88.09523809523809,271.9365,33.9920625,1042.0,42,37,5.0,257.63,6.962972972972973,25763.0,1.9327027027027026,5.030270270270271,336.344,39,42.043,64.4075,247,80-90
144,85.0,257.046,32.13075,1201.0,40,34,6.0,253.56,7.45764705882353,25356.0,2.103823529411765,5.353823529411764,320.436,34,40.0545,63.39,291,80-90
145,88.57142857142857,255.55649999999997,31.944562499999996,591.0,35,31,4.0,263.71,8.506774193548386,26371.0,2.472258064516129,6.034516129032259,321.484,35,40.1855,65.9275,181,80-90
146,85.71428571428571,247.42649999999998,30.928312499999997,1126.0,35,30,5.0,266.79,8.893,26679.0,2.6673333333333336,6.225666666666667,314.12399999999997,30,39.265499999999996,66.6975,379,80-90
147,86.48648648648648,251.53950000000003,31.442437500000004,985.0,37,32,5.0,258.53000000000003,8.079062500000001,25853.0,2.24125,5.8378125,316.172,28,39.5215,64.63250000000001,159,80-90
148,89.74358974358975,266.07349999999997,33.259187499999996,604.0,39,35,4.0,269.21,7.691714285714285,26921.0,2.2065714285714284,5.485142857142858,333.376,33,41.672,67.3025,158,80-90
149,81.08108108108108,250.95499999999998,31.369374999999998,908.0,37,30,7.0,266.26,8.875333333333334,26626.0,2.472,6.403333333333334,317.52,27,39.69,66.565,192,80-90
150,86.8421052631579,236.9905,29.6238125,771.0,38,33,5.0,265.19,8.036060606060605,26519.0,2.8772727272727274,5.158787878787879,303.288,33,37.911,66.2975,286,80-90
151,84.61538461538461,263.83500000000004,32.979375000000005,760.0,39,33,6.0,259.86,7.874545454545455,25986.0,1.9957575757575756,5.878787878787879,328.8,30,41.1,64.965,315,80-90
152,86.8421052631579,250.175,31.271875,484.0,38,33,5.0,266.82,8.085454545454546,26682.0,2.4824242424242424,5.603030303030303,316.88,29,39.61,66.705,384,80-90
