,Unnamed: 0,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
10469,10579,46458062,6721680607,2020-10-27 17:09:00,1900-01-01 17:18:00,0 days 00:09:00,4.9190543,52.3870854,4.9532654,52.4217992,True,3.0,1127.0,639.5616842000819,1.0,388.0,202.0,"[['WALK', 316, 371], ['SUBWAY', 148, 1859], ['WALK', 130, 169], ['BUS', 240, 2922], ['WALK', 91, 98]]",4896
10471,10581,46416772,6721680607,2020-10-27 17:34:00,1900-01-01 18:01:00,0 days 00:27:00,4.906402,52.3781054,4.9532654,52.4217992,True,3.0,1159.0,808.570706756182,0.0,480.0,2.0,"[['WALK', 586, 709], ['BUS', 480, 7300], ['WALK', 91, 98]]",7818
10476,10586,1872281653,4422115072,2020-10-27 17:50:00,1900-01-01 18:11:00,0 days 00:21:00,4.9281316,52.3859455,4.8356981,52.3876557,True,3.0,1973.0,1579.0801353188526,1.0,407.0,268.0,"[['WALK', 692, 851], ['SUBWAY', 107, 1727], ['WALK', 260, 341], ['RAIL', 300, 4342], ['WALK', 346, 385]]",9921
10483,10593,46433785,46413931,2020-10-27 17:53:00,1900-01-01 18:10:00,0 days 00:17:00,4.9110991,52.3815381,4.8928348,52.3774051,True,3.0,1284.0,1209.2372255529317,0.0,300.0,2.0,"[['WALK', 155, 198], ['FERRY', 300, 437], ['WALK', 827, 1010]]",6306
10498,10608,1341149060,1963002180,2020-10-27 17:47:00,1900-01-01 18:01:00,0 days 00:14:00,4.8727876,52.3744942,4.9235064,52.3875961,True,3.0,1881.0,1010.6602857057576,1.0,706.0,350.0,"[['WALK', 394, 469], ['TRAM', 600, 2045], ['WALK', 106, 137], ['SUBWAY', 106, 1845], ['WALK', 325, 403]]",6528
10503,10613,1420479337,457209293,2020-10-27 17:06:00,1900-01-01 17:21:00,0 days 00:15:00,4.9627915,52.3836362,4.9086061,52.3764908,True,3.0,2164.0,1241.747015019653,1.0,932.0,202.0,"[['WALK', 109, 124], ['BUS', 678, 3978], ['WALK', 160, 209], ['SUBWAY', 254, 3527], ['WALK', 761, 907]]",7848
10504,10614,46451347,3325025277,2020-10-27 17:26:00,1900-01-01 17:47:00,0 days 00:21:00,4.9187737,52.3855712,4.888202,52.3250012,True,3.0,2418.0,1132.102503748056,1.0,928.0,572.0,"[['WALK', 551, 660], ['SUBWAY', 570, 5934], ['WALK', 197, 258], ['BUS', 358, 1602], ['WALK', 170, 212]]",10038
10508,10618,46441766,46448221,2020-10-27 17:29:00,1900-01-01 18:01:00,0 days 00:32:00,4.8513821,52.383388,4.9173536,52.3847862,True,3.0,2401.0,1217.6415037464428,1.0,938.0,474.0,"[['WALK', 168, 201], ['BUS', 832, 4603], ['WALK', 222, 292], ['SUBWAY', 106, 1845], ['WALK', 599, 723]]",8826
10521,10631,46495067,46481943,2020-10-27 17:58:00,1900-01-01 18:01:00,0 days 00:03:00,4.93294,52.39674,4.9516299,52.3925862,True,3.0,765.0,550.2234736764833,0.0,311.0,2.0,"[['WALK', 381, 464], ['BUS', 311, 2241], ['WALK', 71, 85]]",1620
10526,10636,4679995907,46479800,2020-10-27 17:05:00,1900-01-01 18:01:00,0 days 00:56:00,4.8845205,52.3369356,4.9571113,52.3921384,True,3.0,2835.0,1378.193015021266,1.0,1168.0,532.0,"[['WALK', 932, 1114], ['SUBWAY', 766, 8124], ['WALK', 160, 209], ['BUS', 402, 2111], ['WALK', 43, 54]]",11592
10531,10641,46502041,46245420,2020-10-27 17:29:00,1900-01-01 17:43:00,0 days 00:14:00,4.9529563,52.3990745,4.9390779,52.339538,True,3.0,2125.0,338.18478195124806,1.0,1759.0,92.0,"[['WALK', 199, 256], ['BUS', 1199, 8307], ['BUS', 560, 3073], ['WALK', 75, 81]]",8834
10533,10643,46247628,46502230,2020-10-27 17:50:00,1900-01-01 18:01:00,0 days 00:11:00,4.9525413,52.3401356,4.9557451,52.3991028,True,3.0,2535.0,785.3886390894958,1.0,1855.0,45.0,"[['WALK', 171, 219], ['TRAM', 676, 3107], ['WALK', 45, 56], ['BUS', 1179, 8187], ['WALK', 419, 509]]",7911
10536,10646,46566460,4235782977,2020-10-27 17:51:00,1900-01-01 18:01:00,0 days 00:10:00,4.908004,52.4205859,4.9514165,52.3957272,True,3.0,1435.0,633.2023608975976,1.0,860.0,70.0,"[['WALK', 104, 123], ['BUS', 600, 2610], ['WALK', 172, 224], ['BUS', 260, 1482], ['WALK', 229, 284]]",8626
10540,10650,46223845,46388843,2020-10-27 17:46:00,1900-01-01 18:18:00,0 days 00:32:00,4.9209144,52.3351325,4.9225175,52.3721949,True,3.0,2078.0,1682.292255627731,1.0,611.0,122.0,"[['WALK', 647, 796], ['SUBWAY', 262, 2502], ['WALK', 158, 206], ['TRAM', 349, 1309], ['WALK', 540, 678]]",5587
10541,10651,46467232,46265577,2020-10-27 17:00:00,1900-01-01 17:51:00,0 days 00:51:00,4.9559095,52.3891448,4.9184156,52.3439372,True,3.0,2180.0,889.6387293155085,0.0,1457.0,2.0,"[['WALK', 187, 233], ['BUS', 1457, 9772], ['WALK', 534, 655]]",8954
10547,10657,46469777,46457775,2020-10-27 17:39:00,1900-01-01 17:48:00,0 days 00:09:00,4.9657139,52.3897793,4.91005,52.38697,True,3.0,1795.0,1143.4891879594318,1.0,794.0,73.0,"[['WALK', 864, 1061], ['BUS', 418, 2758], ['BUS', 376, 2080], ['WALK', 64, 81]]",4882
10548,10658,798748053,46480566,2020-10-27 17:59:00,1900-01-01 18:14:00,0 days 00:15:00,4.8475443,52.3577953,4.9572201,52.3923103,True,3.0,3000.0,450.9993308227978,1.0,2514.0,119.0,"[['WALK', 300, 363], ['TRAM', 1456, 6105], ['BUS', 1058, 7437], ['WALK', 67, 87]]",11830
10549,10659,46270335,46490899,2020-10-27 17:11:00,1900-01-01 17:29:00,0 days 00:18:00,4.9206753,52.3450128,4.9481197,52.3954233,True,3.0,2408.0,862.0757142797219,0.0,1728.0,2.0,"[['WALK', 329, 411], ['BUS', 1728, 10842], ['WALK', 349, 450]]",9290
10550,10660,46485360,46252379,2020-10-27 17:39:00,1900-01-01 18:25:00,0 days 00:46:00,4.9485132,52.3935062,4.9483928,52.341163,True,3.0,2719.0,867.484894730134,1.0,1721.0,300.0,"[['WALK', 423, 532], ['BUS', 1199, 8307], ['WALK', 47, 59], ['TRAM', 522, 2521], ['WALK', 228, 275]]",8023
10556,10666,46467821,46244835,2020-10-27 17:54:00,1900-01-01 18:08:00,0 days 00:14:00,4.9575039,52.389306,4.9388043,52.3393751,True,3.0,2034.0,227.69342856751044,1.0,1568.0,272.0,"[['WALK', 131, 155], ['BUS', 1008, 7327], ['BUS', 560, 3073], ['WALK', 63, 72]]",8360
