,P_WOM_U,P_MARKETING_U,P_EXPERIENCE_U,P_SHARE,V_WOM_U,V_MARKETING_U,V_EXPERIENCE_U,V_SHARE,yw,ym,yp,yi,yr,yprof,yc
180,0.5560765712857374,0.7821852131817995,0.5687428307309598,0.56,0.6249645508429134,0.7820178638769303,0.6709783407750607,0.64,2.0987775938894275,0.0,2.1085144614643525,256.56039549255644,60.01511745083807,45.897333606281066,14.104824255933996
181,0.5585285475725756,0.7821852131817995,0.5689387412104352,0.581,0.6251936998812869,0.7820178638769303,0.6703614276244728,0.655,2.1053064018665193,0.0,2.1149510644743508,256.4420714191649,60.044026638621645,45.913892715316045,14.121302166113676
182,0.5602254666212689,0.7821852131817995,0.56935037421317,0.581,0.6295216650898975,0.7820178638769303,0.6678767154612533,0.64,2.0967793143124043,0.0,2.1065233957929483,256.8563920436282,59.84809747911113,45.77859745648715,14.064989588961467
183,0.5609497788104606,0.7821852131817995,0.5696507720159816,0.5635,0.6335174912712506,0.7820178638769303,0.6639707180209481,0.67,2.096854598210666,0.0,2.106521195151029,256.9006547932625,59.82007133274975,45.7570722542281,14.058488644859127
184,0.5623791944902321,0.7821852131817995,0.5698344273649449,0.5775,0.6337237862375231,0.7820178638769303,0.665420414173792,0.685,2.093195596515905,0.0,2.102898095272808,256.9010225228459,59.834377001198945,45.77274764935586,14.057118918180576
185,0.5634599627160093,0.7821852131817995,0.5699285800752969,0.5665,0.6318405072544977,0.7820178638769303,0.6663171619745875,0.655,2.1084892258425527,0.0,2.1181162613095084,256.7501082501601,59.83900473559861,45.755796057928585,14.078698244007509
186,0.5655705568617748,0.7821852131817995,0.5701991466246831,0.563,0.6368955459878562,0.7820178638769303,0.658718286788023,0.685,2.1088173714378806,0.0,2.1184877444278403,256.43398932631146,60.015367911522006,45.89001230270743,14.120845175152061
187,0.5674809425194071,0.7821852131817995,0.5702468442591251,0.574,0.6387529177751371,0.7820178638769303,0.6593726422398376,0.66,2.12431021104235,0.0,2.13392433237917,256.8275707134932,59.71315255770286,45.636092998054224,14.068421294555044
188,0.5695495365486771,0.7821852131817995,0.5703578745219605,0.5815,0.640274472292913,0.7820178638769303,0.6513541336537,0.685,2.120028651017291,0.0,2.1295889488757336,256.86945899954287,59.711982655848985,45.641008097095046,14.062336293660351
189,0.5693616459791786,0.7821852131817995,0.5704036014660427,0.588,0.6415060638645582,0.7820178638769303,0.6549180974373617,0.655,2.0976524947164474,0.0,2.107091056006011,256.9271740173682,59.79678925678483,45.73563724565788,14.052513746033346
