,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
5571,1352598298,46347485,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.8606253,52.3578941,4.8618008,52.3627653,True,3.0,586.0,740.2287744325479,0.0,0.0,0.0,"[['WALK', 586, 740]]",1022
5572,6949114047,46332925,2020-10-27 17:50:00,1900-01-01 18:01:00,0 days 00:11:00,4.8911693,52.3605212,4.8618233,52.3594905,True,3.0,870.0,262.02623307808506,0.0,642.0,2.0,"[['WALK', 120, 133], ['TRAM', 642, 2481], ['WALK', 106, 127]]",2330
5573,46330935,287776239,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.8606445,52.35903,4.8747571,52.3633667,True,3.0,419.0,179.94348872033677,0.0,265.0,2.0,"[['WALK', 57, 69], ['TRAM', 265, 1114], ['WALK', 95, 110]]",1151
5574,117953801,46339795,2020-10-27 17:54:00,1900-01-01 18:01:00,0 days 00:07:00,4.8895758,52.3671188,4.8608849,52.361006,True,3.0,1219.0,394.893631572409,1.0,632.0,260.0,"[['WALK', 78, 85], ['TRAM', 230, 677], ['TRAM', 402, 1535], ['WALK', 249, 308]]",3592
5575,46463153,46351122,2020-10-27 17:43:00,1900-01-01 18:01:00,0 days 00:18:00,4.8901313,52.3882022,4.8692546,52.3636625,True,3.0,2050.0,1956.911285697691,0.0,455.0,2.0,"[['WALK', 1052, 1306], ['TRAM', 455, 2059], ['WALK', 541, 649]]",4315
5576,46562099,46338872,2020-10-27 17:47:00,1900-01-01 18:01:00,0 days 00:14:00,4.9123483,52.4186834,4.8574624,52.360763,True,3.0,2950.0,1476.7971353269193,2.0,1619.0,157.0,"[['WALK', 627, 797], ['BUS', 482, 1922], ['WALK', 158, 207], ['SUBWAY', 495, 5722], ['WALK', 92, 119], ['TRAM', 642, 2481], ['WALK', 297, 352]]",11737
5577,46288833,46465250,2020-10-27 17:11:00,1900-01-01 17:26:00,0 days 00:15:00,4.8041396,52.3493344,4.8455469,52.3887438,True,3.0,2436.0,1489.0845714115158,0.0,1216.0,2.0,"[['WALK', 663, 846], ['BUS', 1216, 7622], ['WALK', 555, 642]]",6941
5578,297095257,1424160958,2020-10-27 17:36:00,1900-01-01 17:51:00,0 days 00:15:00,4.8553448,52.3709729,4.7964065,52.363337,True,3.0,1575.0,834.9872556357982,1.0,908.0,16.0,"[['WALK', 6, 7], ['TRAM', 584, 3079], ['BUS', 324, 2104], ['WALK', 645, 827]]",5556
5579,46298488,46351147,2020-10-27 17:53:00,1900-01-01 18:01:00,0 days 00:08:00,4.8819826,52.3516412,4.86683,52.3636238,True,3.0,1208.0,902.4793458553576,0.0,468.0,2.0,"[['WALK', 162, 187], ['TRAM', 468, 1753], ['WALK', 576, 714]]",2292
5580,46364528,46355285,2020-10-27 17:52:00,1900-01-01 18:01:00,0 days 00:09:00,4.8358712,52.3669519,4.8772306,52.3646809,True,3.0,1789.0,1512.5090150244928,0.0,565.0,2.0,"[['WALK', 917, 1131], ['TRAM', 565, 2863], ['WALK', 305, 380]]",3503
