====================================================================
====================================================================
New simulation started at:    2023-02-28 10:47:20.510108
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
265,143,17,0,0.55,2.0,0,False,830.28,159,13,830.28,830.28,0
266,159,13,1,0.5,2.0,0,False,557.05,126,12,557.05,557.05,0
267,126,12,1,0.45,2.0,0,False,492.96,126,13,492.96,492.96,0
268,126,13,1,0.4,2.0,0,False,577.15,150,9,577.15,577.15,0
269,150,9,0,0.45,2.0,0,False,586.31,139,9,586.31,586.31,0
270,139,9,2,0.45,2.0,0,False,562.12,122,8,562.12,562.12,0
271,122,8,2,0.45,2.0,0,False,640.2,142,13,640.2,640.2,0
272,142,13,0,0.5,2.0,0,False,590.27,120,15,590.27,590.27,0
273,120,15,2,0.5,2.0,0,False,537.9,114,13,537.9,537.9,0
274,114,13,2,0.5,2.0,0,False,614.21,124,10,614.21,614.21,0
275,124,10,2,0.5,2.0,0,False,562.54,117,5,562.54,562.54,0
276,117,5,1,0.45,2.0,0,False,506.19,123,3,506.19,506.19,0
277,123,3,2,0.45,2.0,0,False,474.94,102,9,474.94,474.94,0
278,102,9,2,0.45,2.0,0,False,410.34,90,6,410.34,410.34,0
279,90,6,0,0.5,2.0,0,False,437.98,83,9,437.98,437.98,0
280,83,9,2,0.5,2.0,0,False,448.41,88,12,448.41,448.41,0
281,88,12,0,0.55,2.0,0,False,623.44,109,4,623.44,623.44,0
282,109,4,2,0.55,2.0,0,False,469.13,80,12,469.13,469.13,0
283,80,12,2,0.55,2.0,0,False,499.28,88,10,499.28,499.28,0
284,88,10,0,0.6,2.0,0,False,505.07,90,3,505.07,505.07,0
285,90,3,0,0.65,2.0,0,False,521.48,82,13,521.48,521.48,0
286,82,13,0,0.7,2.0,0,False,601.36,86,15,601.36,601.36,0
287,86,15,0,0.75,2.0,0,False,683.59,91,8,683.59,683.59,0
288,91,8,0,0.8,2.0,0,False,769.92,89,6,769.92,769.92,0
289,89,6,0,0.85,2.0,0,False,777.2,90,8,777.2,777.2,0
290,90,8,1,0.8,2.0,0,False,827.19,100,10,827.19,827.19,0
291,100,10,0,0.85,2.0,0,False,844.63,90,9,844.63,844.63,0
292,90,9,2,0.85,2.0,0,False,672.56,77,7,672.56,672.56,0
293,77,7,2,0.85,2.0,0,False,636.15,71,3,636.15,636.15,0
294,71,3,1,0.8,2.0,0,False,820.08,89,3,820.08,820.08,0
295,89,3,0,0.85,2.0,0,False,823.22,83,8,823.22,823.22,0
296,83,8,1,0.8,2.0,0,False,598.82,75,9,598.82,598.82,0
297,75,9,2,0.8,2.0,0,False,651.42,79,2,651.42,651.42,0
298,79,2,2,0.8,2.0,0,False,711.67,82,8,711.67,711.67,0
299,82,8,2,0.8,2.0,0,False,651.31,76,8,651.31,651.31,0
300,76,8,0,0.85,2.0,0,False,826.9,91,7,826.9,826.9,0
301,91,7,1,0.8,2.0,0,False,561.68,70,2,561.68,561.68,0
302,70,2,2,0.8,2.0,0,False,652.32,78,9,652.32,652.32,0
303,78,9,0,0.85,2.0,0,False,598.52,61,11,598.52,598.52,0
304,61,11,2,0.85,2.0,0,False,694.31,80,8,694.31,694.31,0
305,80,8,1,0.8,2.0,0,False,632.79,77,3,632.79,632.79,0
306,77,3,0,0.85,2.0,0,False,749.41,79,7,749.41,749.41,0
307,79,7,0,0.9,2.0,0,False,872.86,88,10,872.86,872.86,0
308,88,10,0,0.95,2.0,0,False,675.21,63,9,675.21,675.21,0
309,63,9,1,0.9,2.0,0,False,601.36,59,5,601.36,601.36,0
310,59,5,2,0.9,2.0,0,False,557.86,56,7,557.86,557.86,0
311,56,7,2,0.9,2.0,0,False,749.93,75,7,749.93,749.93,0
312,75,7,0,0.95,2.0,0,False,656.54,65,8,656.54,656.54,0
313,65,8,0,1.0,2.0,0,False,827.67,78,6,827.67,827.67,0
314,78,6,1,0.95,2.0,0,False,567.11,54,5,567.11,567.11,0
315,54,5,2,0.95,2.0,0,False,722.39,70,9,722.39,722.39,0
316,70,9,1,0.9,2.0,0,False,798.08,81,9,798.08,798.08,0
317,81,9,1,0.85,2.0,0,False,652.96,71,2,652.96,652.96,0
318,71,2,2,0.85,2.0,0,False,681.95,71,6,681.95,681.95,0
319,71,6,0,0.9,2.0,0,False,616.13,68,4,616.13,616.13,0
320,68,4,1,0.85,2.0,0,False,620.96,67,5,620.96,620.96,0
321,67,5,0,0.9,2.0,0,False,655.51,72,7,655.51,655.51,0
322,72,7,1,0.85,2.0,0,False,746.35,71,6,746.35,746.35,0
323,71,6,2,0.85,2.0,0,False,602.53,67,1,602.53,602.53,0
324,67,1,1,0.8,2.0,0,False,558.36,67,6,558.36,558.36,0
325,67,6,1,0.75,2.0,0,False,455.71,56,5,455.71,455.71,0
326,56,5,2,0.75,2.0,0,False,593.44,67,4,593.44,593.44,0
327,67,4,1,0.7,2.0,0,False,511.66,67,6,511.66,511.66,0
328,67,6,2,0.7,2.0,0,False,599.42,78,10,599.42,599.42,0
329,78,10,1,0.65,2.0,0,False,458.27,63,6,458.27,458.27,0
330,63,6,0,0.7,2.0,0,False,590.18,69,3,590.18,590.18,0
331,69,3,2,0.7,2.0,0,False,476.9,64,7,476.9,476.9,0
332,64,7,1,0.65,2.0,0,False,499.54,70,3,499.54,499.54,0
333,70,3,0,0.7,2.0,0,False,449.51,62,10,449.51,449.51,0
334,62,10,1,0.65,2.0,0,False,628.97,79,5,628.97,628.97,0
335,79,5,1,0.6,2.0,0,False,449.21,63,4,449.21,449.21,0
336,63,4,0,0.65,2.0,0,False,476.93,68,8,476.93,476.93,0
337,68,8,1,0.6,2.0,0,False,420.85,62,7,420.85,420.85,0
338,62,7,2,0.6,2.0,0,False,458.89,66,7,458.89,458.89,0
339,66,7,0,0.65,2.0,0,False,452.11,65,4,452.11,452.11,0
