====================================================================
====================================================================
New simulation started at:    2023-02-10 12:41:58.320527
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP
151,29,5,2,0.75,2.0,0.4,False,159.47,40,2
152,40,2,0,0.8,2.0,0.4,False,173.36,35,2
153,35,2,2,0.8,2.0,0.4,False,119.84,29,1
154,29,1,0,0.85,2.0,0.4,False,219.59,41,8
155,41,8,1,0.8,2.0,0.4,False,149.28,37,3
156,37,3,0,0.85,2.0,0.4,False,167.32,36,3
157,36,3,1,0.8,2.0,0.4,False,114.26,28,3
158,28,3,0,0.85,2.0,0.4,False,164.83,36,0
159,36,0,0,0.9,2.0,0.4,False,145.25,25,3
160,25,3,2,0.9,2.0,0.4,False,223.1,37,6
161,37,6,2,0.9,2.0,0.4,False,205.61,37,1
162,37,1,1,0.85,2.0,0.4,False,153.42,30,3
163,30,3,2,0.85,2.0,0.4,False,141.9,31,1
164,31,1,2,0.85,2.0,0.4,False,221.45,42,3
165,42,3,2,0.85,2.0,0.4,False,155.17,28,1
166,28,1,0,0.9,2.0,0.4,False,172.34,37,4
167,37,4,0,0.95,2.0,0.4,False,214.43,31,3
168,31,3,2,0.95,2.0,0.4,False,183.02,29,1
169,29,1,1,0.9,2.0,0.4,False,193.1,33,4
170,33,4,0,0.95,2.0,0.4,False,212.56,36,2
171,36,2,1,0.9,2.0,0.4,False,196.74,38,2
172,38,2,2,0.9,2.0,0.4,False,245.84,42,2
173,42,2,2,0.9,2.0,0.4,False,154.91,30,4
174,30,4,2,0.9,2.0,0.4,False,222.77,41,5
175,41,5,1,0.85,2.0,0.4,False,140.26,26,3
176,26,3,2,0.85,2.0,0.4,False,197.55,36,4
177,36,4,0,0.9,2.0,0.4,False,257.62,43,2
178,43,2,0,0.95,2.0,0.4,False,185.02,32,3
179,32,3,1,0.9,2.0,0.4,False,226.83,39,2
180,39,2,2,0.9,2.0,0.4,False,181.36,32,7
181,32,7,1,0.85,2.0,0.4,False,197.78,40,5
182,40,5,0,0.9,2.0,0.4,False,166.14,30,3
183,30,3,2,0.9,2.0,0.4,False,158.24,29,4
184,29,4,2,0.9,2.0,0.4,False,156.42,31,4
185,31,4,0,0.95,2.0,0.4,False,165.69,29,6
186,29,6,2,0.95,2.0,0.4,False,145.73,22,5
187,22,5,1,0.9,2.0,0.4,False,182.48,30,2
188,30,2,1,0.85,2.0,0.4,False,162.45,35,5
189,35,5,0,0.9,2.0,0.4,False,247.5,43,3
190,43,3,2,0.9,2.0,0.4,False,218.13,38,1
191,38,1,1,0.85,2.0,0.4,False,196.88,37,0
192,37,0,0,0.9,2.0,0.4,False,292.17,50,3
193,50,3,2,0.9,2.0,0.4,False,122.98,26,4
194,26,4,1,0.85,2.0,0.4,False,149.78,28,4
195,28,4,0,0.9,2.0,0.4,False,185.02,30,1
196,30,1,2,0.9,2.0,0.4,False,194.38,34,2
197,34,2,0,0.95,2.0,0.4,False,259.88,39,1
198,39,1,0,1.0,2.0,0.4,False,193.36,29,2
199,29,2,1,0.95,2.0,0.4,False,172.46,31,7
200,31,7,0,1.0,2.0,0,False,413.59,35,3
201,35,3,1,0.95,2.0,0,False,362.03,36,3
202,36,3,2,0.95,2.0,0,False,299.62,28,3
203,28,3,1,0.9,2.0,0,False,335.94,32,1
204,32,1,2,0.9,2.0,0,False,428.45,40,2
205,40,2,2,0.9,2.0,0,False,416.69,39,2
206,39,2,0,0.95,2.0,0,False,378.99,34,6
207,34,6,0,1.0,2.0,0,False,411.19,38,1
208,38,1,0,1.0,2.0,0,False,283.14,24,4
209,24,4,2,1.0,2.0,0,False,497.24,47,6
210,47,6,0,1.0,2.0,0,False,280.57,26,2
211,26,2,1,0.95,2.0,0,False,322.91,30,6
212,30,6,1,0.9,2.0,0,False,298.86,32,4
213,32,4,2,0.9,2.0,0,False,373.28,34,1
214,34,1,0,0.95,2.0,0,False,298.56,28,4
215,28,4,0,1.0,2.0,0,False,352.36,32,3
216,32,3,2,1.0,2.0,0,False,449.37,41,5
217,41,5,1,0.95,2.0,0,False,362.11,32,2
218,32,2,2,0.95,2.0,0,False,265.14,25,5
219,25,5,2,0.95,2.0,0,False,303.27,28,3
220,28,3,2,0.95,2.0,0,False,387.21,36,0
221,36,0,0,1.0,2.0,0,False,403.48,39,0
222,39,0,0,1.0,2.0,0,False,331.01,32,4
223,32,4,0,1.0,2.0,0,False,440.06,37,7
224,37,7,0,1.0,2.0,0,False,337.43,33,7
225,33,7,0,1.0,2.0,0,False,417.69,35,1
226,35,1,2,1.0,2.0,0,False,419.08,36,3
227,36,3,1,0.95,2.0,0,False,256.18,27,3
228,27,3,2,0.95,2.0,0,False,454.5,45,5
229,45,5,2,0.95,2.0,0,False,429.78,37,1
230,37,1,2,0.95,2.0,0,False,320.79,30,4
231,30,4,0,1.0,2.0,0,False,387.34,33,6
232,33,6,1,0.95,2.0,0,False,318.54,30,4
233,30,4,0,1.0,2.0,0,False,294.72,27,3
234,27,3,1,0.95,2.0,0,False,330.45,32,1
235,32,1,1,0.9,2.0,0,False,242.2,26,6
236,26,6,1,0.85,2.0,0,False,221.95,28,2
237,28,2,0,0.9,2.0,0,False,314.88,35,3
238,35,3,2,0.9,2.0,0,False,356.61,35,1
239,35,1,0,0.95,2.0,0,False,375.17,36,2
240,36,2,2,0.95,2.0,0,False,386.98,33,3
241,33,3,2,0.95,2.0,0,False,368.63,32,2
242,32,2,2,0.95,2.0,0,False,404.19,34,1
243,34,1,0,1.0,2.0,0,False,265.33,24,6
244,24,6,2,1.0,2.0,0,False,375.01,31,1
245,31,1,2,1.0,2.0,0,False,315.23,25,4
246,25,4,0,1.0,2.0,0,False,379.24,33,2
247,33,2,2,1.0,2.0,0,False,351.24,31,2
248,31,2,2,1.0,2.0,0,False,356.42,36,2
249,36,2,2,1.0,2.0,0,False,483.9,42,2
250,42,2,2,1.0,2.0,0,False,362.58,32,6
251,32,6,0,1.0,2.0,0,False,194.78,20,0
252,20,0,1,0.95,2.0,0,False,517.6,43,7
253,43,7,1,0.9,2.0,0,False,293.2,31,2
254,31,2,0,0.95,2.0,0,False,293.39,31,1
255,31,1,0,1.0,2.0,0,False,299.59,24,5
256,24,5,2,1.0,2.0,0,False,267.8,22,2
257,22,2,0,1.0,2.0,0,False,488.17,39,1
258,39,1,2,1.0,2.0,0,False,251.83,25,4
259,25,4,0,1.0,2.0,0,False,390.78,34,2
260,34,2,2,1.0,2.0,0,False,390.6,31,4
261,31,4,1,0.95,2.0,0,False,342.63,34,1
262,34,1,1,0.9,2.0,0,False,494.77,49,2
263,49,2,1,0.85,2.0,0,False,281.39,27,1
264,27,1,2,0.85,2.0,0,False,317.3,35,2
265,35,2,1,0.8,2.0,0,False,307.77,26,2
266,26,2,1,0.75,2.0,0,False,112.07,15,1
267,15,1,0,0.8,2.0,0,False,298.92,31,7
268,31,7,1,0.75,2.0,0,False,352.32,35,2
269,35,2,2,0.75,2.0,0,False,295.23,30,5
270,30,5,2,0.75,2.0,0,False,196.53,25,3
271,25,3,1,0.7,2.0,0,False,295.81,39,6
272,39,6,2,0.7,2.0,0,False,211.6,29,2
273,29,2,0,0.75,2.0,0,False,217.63,29,3
274,29,3,1,0.7,2.0,0,False,155.77,24,3
275,24,3,1,0.65,2.0,0,False,130.16,20,2
276,20,2,1,0.6,2.0,0,False,195.57,32,3
277,32,3,0,0.65,2.0,0,False,238.75,34,4
278,34,4,0,0.7,2.0,0,False,171.51,25,4
279,25,4,1,0.65,2.0,0,False,183.72,26,1
280,26,1,1,0.6,2.0,0,False,214.98,30,5
281,30,5,0,0.65,2.0,0,False,223.87,28,2
282,28,2,1,0.6,2.0,0,False,236.71,33,5
283,33,5,2,0.6,2.0,0,False,276.47,36,2
284,36,2,2,0.6,2.0,0,False,168.05,30,2
285,30,2,1,0.55,2.0,0,False,185.35,33,2
286,33,2,2,0.55,2.0,0,False,177.54,30,1
287,30,1,1,0.5,2.0,0,False,219.67,41,0
288,41,0,1,0.45,2.0,0,False,115.03,25,2
289,25,2,0,0.5,2.0,0,False,178.56,33,6
290,33,6,1,0.45,2.0,0,False,148.79,29,2
291,29,2,0,0.5,2.0,0,False,161.04,31,3
292,31,3,0,0.55,2.0,0,False,183.46,29,2
293,29,2,1,0.5,2.0,0,False,223.37,36,5
294,36,5,0,0.55,2.0,0,False,182.62,30,5
295,30,5,2,0.55,2.0,0,False,262.29,42,3
296,42,3,0,0.6,2.0,0,False,174.21,24,3
297,24,3,1,0.55,2.0,0,False,174.66,35,3
298,35,3,0,0.6,2.0,0,False,223.64,32,0
299,32,0,0,0.65,2.0,0,False,215.75,31,2
300,31,2,0,0.7,2.0,0,False,281.78,32,3
301,32,3,0,0.75,2.0,0,False,270.67,31,9
302,31,9,2,0.75,2.0,0,False,197.37,24,3
303,24,3,1,0.7,2.0,0,False,162.22,22,2
304,22,2,0,0.75,2.0,0,False,215.86,27,2
305,27,2,1,0.7,2.0,0,False,240.28,35,3
306,35,3,2,0.7,2.0,0,False,223.59,33,2
307,33,2,1,0.65,2.0,0,False,205.01,32,4
308,32,4,2,0.65,2.0,0,False,227.37,33,3
309,33,3,0,0.7,2.0,0,False,286.19,38,3
310,38,3,1,0.65,2.0,0,False,163.49,23,5
311,23,5,1,0.6,2.0,0,False,255.16,36,8
312,36,8,1,0.55,2.0,0,False,197.83,32,5
313,32,5,1,0.5,2.0,0,False,223.35,35,5
314,35,5,2,0.5,2.0,0,False,261.63,37,2
315,37,2,0,0.55,2.0,0,False,216.06,29,5
316,29,5,0,0.6,2.0,0,False,244.39,32,3
317,32,3,1,0.55,2.0,0,False,150.42,24,3
318,24,3,0,0.6,2.0,0,False,212.31,34,1
319,34,1,2,0.6,2.0,0,False,157.63,26,1
320,26,1,1,0.55,2.0,0,False,182.03,28,5
321,28,5,0,0.6,2.0,0,False,255.9,35,3
322,35,3,1,0.55,2.0,0,False,227.38,35,4
323,35,4,0,0.6,2.0,0,False,147.47,23,6
324,23,6,0,0.65,2.0,0,False,319.41,42,6
325,42,6,1,0.6,2.0,0,False,242.23,31,6
326,31,6,1,0.55,2.0,0,False,203.08,29,3
327,29,3,1,0.5,2.0,0,False,167.78,33,2
328,33,2,2,0.5,2.0,0,False,186.64,32,5
329,32,5,2,0.5,2.0,0,False,218.54,33,3
330,33,3,1,0.45,2.0,0,False,166.57,31,2
331,31,2,2,0.45,2.0,0,False,158.7,32,1
332,32,1,0,0.5,2.0,0,False,174.83,30,3
333,30,3,1,0.45,2.0,0,False,172.86,38,4
334,38,4,2,0.45,2.0,0,False,125.93,29,5
335,29,5,2,0.45,2.0,0,False,110.35,25,3
336,25,3,1,0.4,2.0,0,False,167.7,38,6
337,38,6,1,0.35,2.0,0,False,144.33,40,6
338,40,6,0,0.4,2.0,0,False,132.4,30,1
