====================================================================
====================================================================
New simulation started at:    2023-02-27 02:28:13.090139
Baseline: 
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
197,686,61,-,0.1,1.2,0.4,False,238.39,715,58,238.39,482.46,0
198,715,58,-,0.1,1.2,0.4,False,240.62,743,54,240.62,493.54,0
199,743,54,-,0.1,1.2,0.4,False,206.63,750,64,206.63,500.33,0
200,750,64,-,0.1,1.2,0,False,504.36,755,59,504.36,504.36,0
201,755,59,-,0.1,1.2,0,False,523.98,777,70,523.98,523.98,0
202,777,70,-,0.1,1.2,0,False,512.2,765,69,512.2,512.2,0
203,765,69,-,0.1,1.2,0,False,494.81,742,64,494.81,494.81,0
204,742,64,-,0.1,1.2,0,False,519.52,784,70,519.52,519.52,0
205,784,70,-,0.1,1.2,0,False,507.3,767,72,507.3,507.3,0
206,767,72,-,0.1,1.2,0,False,486.43,748,70,486.43,486.43,0
207,748,70,-,0.1,1.2,0,False,528.43,786,73,528.43,528.43,0
208,786,73,-,0.1,1.2,0,False,505.91,764,73,505.91,505.91,0
209,764,73,-,0.1,1.2,0,False,510.82,767,81,510.82,510.82,0
210,767,81,-,0.1,1.2,0,False,521.55,791,76,521.55,521.55,0
211,791,76,-,0.1,1.2,0,False,513.06,787,78,513.06,513.06,0
212,787,78,-,0.1,1.2,0,False,528.55,791,72,528.55,528.55,0
213,791,72,-,0.1,1.2,0,False,543.28,815,70,543.28,543.28,0
214,815,70,-,0.1,1.2,0,False,516.25,788,76,516.25,516.25,0
215,788,76,-,0.1,1.2,0,False,517.71,786,78,517.71,517.71,0
216,786,78,-,0.1,1.2,0,False,530.09,813,72,530.09,530.09,0
217,813,72,-,0.1,1.2,0,False,530.68,812,78,530.68,530.68,0
218,812,78,-,0.1,1.2,0,False,532.42,812,78,532.42,532.42,0
219,812,78,-,0.1,1.2,0,False,533.58,813,76,533.58,533.58,0
220,813,76,-,0.1,1.2,0,False,535.8,813,71,535.8,535.8,0
221,813,71,-,0.1,1.2,0,False,560.78,856,79,560.78,560.78,0
222,856,79,-,0.1,1.2,0,False,555.44,842,75,555.44,555.44,0
223,842,75,-,0.1,1.2,0,False,565.72,856,73,565.72,565.72,0
224,856,73,-,0.1,1.2,0,False,548.12,846,77,548.12,548.12,0
225,846,77,-,0.1,1.2,0,False,554.6,847,82,554.6,554.6,0
