====================================================================
====================================================================
New simulation started at:    2023-03-10 20:28:00.441198
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost,w_rew,w_mark,rew_normal,mark_normal
170,109,17,2,0.05,2.0,0.4,False,0.02,103,16,-278.67,52.17,0,0.8,0.2,0.0130425,0.0595,
171,103,16,0,0.1,2.0,0.4,False,0.03,105,19,-219.91,102.83,0,0.8,0.2,0.0257075,0.062,
172,105,19,2,0.1,2.0,0.4,False,0.03,109,23,-205.51,104.28,0,0.8,0.2,0.02607,0.066,
173,109,23,2,0.1,2.0,0.4,False,0.03,106,12,-184.3,103.74,0,0.8,0.2,0.025935,0.059,
174,106,12,1,0.05,2.0,0.4,False,0.02,108,16,-270.34,54.64,0,0.8,0.2,0.01366,0.062,
175,108,16,0,0.1,2.0,0.4,False,0.03,108,30,-194.54,104.76,0,0.8,0.2,0.02619,0.069,
176,108,30,2,0.1,2.0,0.4,False,0.04,123,15,-222.99,120.06,0,0.8,0.2,0.030015,0.069,
177,123,15,0,0.15,2.0,0.4,False,0.05,127,13,-169.13,192.49,0,0.8,0.2,0.048122500000000006,0.07,
178,127,13,1,0.1,2.0,0.4,False,0.04,135,20,-282.52,137.38,0,0.8,0.2,0.034345,0.0775,
179,135,20,1,0.05,2.0,0.4,False,0.03,135,18,-327.82,71.63,0,0.8,0.2,0.0179075,0.0765,
180,135,18,1,0.0,2.0,0.4,False,0.02,131,22,-330.58,0.0,0,0.8,0.2,0.0,0.0765,
181,131,22,2,0.0,2.0,0.4,False,0.02,133,26,-315.17,0.0,0,0.8,0.2,0.0,0.0795,
182,133,26,2,0.0,2.0,0.4,False,0.02,139,27,-330.39,0.0,0,0.8,0.2,0.0,0.083,
183,139,27,2,0.0,2.0,0.4,False,0.02,143,19,-343.81,0.0,0,0.8,0.2,0.0,0.081,
184,143,19,2,0.0,2.0,0.4,False,0.02,159,19,-378.8,0.0,0,0.8,0.2,0.0,0.089,
185,159,19,0,0.05,2.0,0.4,False,0.03,143,27,-205.47,64.33,0,0.8,0.2,0.0160825,0.085,
186,143,27,1,0.0,2.0,0.4,False,0.02,163,25,-382.13,0.0,0,0.8,0.2,0.0,0.094,
187,163,25,2,0.0,2.0,0.4,False,0.02,167,23,-356.19,0.0,0,0.8,0.2,0.0,0.095,
188,167,23,1,0.0,2.0,0.4,False,0.02,161,22,-319.82,0.0,0,0.8,0.2,0.0,0.0915,
189,161,22,2,0.0,2.0,0.4,False,0.02,181,22,-405.95,0.0,0,0.8,0.2,0.0,0.1015,
190,181,22,1,0.0,2.0,0.4,False,0.02,154,30,-272.25,0.0,0,0.8,0.2,0.0,0.092,
191,154,30,0,0.05,2.0,0.4,False,0.04,166,31,-280.67,79.75,0,0.8,0.2,0.0199375,0.0985,
192,166,31,0,0.1,2.0,0.4,False,0.05,158,26,-167.71,148.85,0,0.8,0.2,0.037212499999999996,0.092,
193,158,26,2,0.1,2.0,0.4,False,0.06,193,22,-220.06,181.45,0,0.8,0.2,0.0453625,0.1075,
194,193,22,0,0.15,2.0,0.4,False,0.07,176,27,-59.61,244.74,0,0.8,0.2,0.061185,0.1015,
195,176,27,1,0.1,2.0,0.4,False,0.06,179,30,-186.38,171.88,0,0.8,0.2,0.04297,0.1045,
196,179,30,1,0.05,2.0,0.4,False,0.04,189,28,-284.8,87.98,0,0.8,0.2,0.021995,0.1085,
197,189,28,0,0.1,2.0,0.4,False,0.05,176,33,-154.91,166.55,0,0.8,0.2,0.0416375,0.1045,
198,176,33,0,0.15,2.0,0.4,False,0.07,190,30,-97.37,257.63,0,0.8,0.2,0.06440749999999999,0.11,
199,190,30,1,0.1,2.0,0.4,False,0.06,189,27,-169.6,172.55,0,0.8,0.2,0.0431375,0.108,
200,189,27,2,0.1,2.0,0,False,0.07,226,22,213.02,213.02,0,0.8,0.2,0.053255000000000004,0.124,
201,226,22,0,0.15,2.0,0,False,0.08,194,30,281.69,281.69,0,0.8,0.2,0.0704225,0.112,
202,194,30,2,0.15,2.0,0,False,0.06,170,27,225.04,225.04,0,0.8,0.2,0.05626,0.0985,
203,170,27,2,0.15,2.0,0,False,0.08,201,23,277.92,277.92,0,0.8,0.2,0.06948,0.112,
204,201,23,1,0.1,2.0,0,False,0.06,185,25,170.22,170.22,0,0.8,0.2,0.042555,0.105,
205,185,25,1,0.05,2.0,0,False,0.04,184,27,86.42,86.42,0,0.8,0.2,0.021605,0.1055,
206,184,27,0,0.1,2.0,0,False,0.06,186,32,171.79,171.79,0,0.8,0.2,0.0429475,0.109,
207,186,32,1,0.05,2.0,0,False,0.04,199,39,91.14,91.14,0,0.8,0.2,0.022785,0.119,
208,199,39,0,0.1,2.0,0,False,0.05,164,29,144.37,144.37,0,0.8,0.2,0.0360925,0.0965,
209,164,29,1,0.05,2.0,0,False,0.04,190,28,92.28,92.28,0,0.8,0.2,0.02307,0.109,
210,190,28,2,0.05,2.0,0,False,0.04,176,28,78.1,78.1,0,0.8,0.2,0.019524999999999997,0.102,
211,176,28,2,0.05,2.0,0,False,0.04,176,28,82.0,82.0,0,0.8,0.2,0.0205,0.102,
212,176,28,1,0.0,2.0,0,False,0.02,182,25,0.0,0.0,0,0.8,0.2,0.0,0.1035,
213,182,25,2,0.0,2.0,0,False,0.02,180,24,0.0,0.0,0,0.8,0.2,0.0,0.102,
214,180,24,0,0.05,2.0,0,False,0.03,163,30,72.2,72.2,0,0.8,0.2,0.01805,0.0965,
215,163,30,1,0.0,2.0,0,False,0.02,155,29,0.0,0.0,0,0.8,0.2,0.0,0.092,
216,155,29,0,0.05,2.0,0,False,0.03,163,31,70.69,70.69,0,0.8,0.2,0.0176725,0.097,
217,163,31,0,0.1,2.0,0,False,0.05,184,28,165.38,165.38,0,0.8,0.2,0.041345,0.106,
218,184,28,0,0.15,2.0,0,False,0.06,164,34,223.09,223.09,0,0.8,0.2,0.0557725,0.099,
219,164,34,0,0.2,2.0,0,False,0.08,176,26,321.07,321.07,0,0.8,0.2,0.08026749999999999,0.101,
220,176,26,0,0.25,2.0,0,False,0.1,175,20,398.54,398.54,0,0.8,0.2,0.099635,0.0975,
221,175,20,1,0.2,2.0,0,False,0.09,184,26,337.04,337.04,0,0.8,0.2,0.08426,0.105,
222,184,26,2,0.2,2.0,0,False,0.08,175,20,317.1,317.1,0,0.8,0.2,0.07927500000000001,0.0975,
223,175,20,2,0.2,2.0,0,False,0.09,180,23,337.37,337.37,0,0.8,0.2,0.0843425,0.1015,
